ID,h:m:s,d:m:s,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,mag,mag,mag,%,h:m:s,d:m:s
207,02 38 32.26,+42 43 29.5,-0.37,0.5,0.09,0.14,15.18,0.83,0.72,0,02 41 45.85,+42 56 16.7
208,02 38 32.63,+42 30 03.8,-0.02,-0.01,0.03,0.01,13.21,0.74,0.69,98,02 41 45.91,+42 42 51.0
209,02 38 33.60,+42 16 44.4,-0.47,-0.58,0.04,0.03,12.49,     ,     ,0,02 41 46.58,+42 29 31.5
210,02 38 33.66,+42 46 46.9,-0.05,0.71,0.03,0.03,13.38,     ,     ,0,02 41 47.33,+42 59 34.0
211,02 38 33.76,+42 30 10.2,0.03,0.05,0.03,0.02,11.27,0.29,0.25,99,02 41 47.05,+42 42 57.3
212,02 38 33.93,+42 37 22.6,-0.01,0.33,0.03,0.03,13.75,     ,     ,0,02 41 47.39,+42 50 09.7
213,02 38 34.06,+42 30 52.5,0.07,-0.05,0.03,0.02,13.07,0.6,0.57,94,02 41 47.36,+42 43 39.6
214,02 38 34.14,+42 45 02.2,-0.15,0.23,0.19,0.27,15.93,0.67,0.84,11,02 41 47.77,+42 57 49.3
215,02 38 34.63,+42 28 32.3,-0.72,0.1,0.02,0.01,12.25,0.59,0.6,0,02 41 47.88,+42 41 19.4
216,02 38 34.80,+42 26 17.6,-0.02,0,0.02,0.02,12.88,0.57,0.51,99,02 41 48.00,+42 39 04.7
217,02 38 34.91,+42 33 16.0,0.46,0.43,0.15,0.09,15.08,     ,     ,0,02 41 48.27,+42 46 03.0
218,02 38 34.99,+42 36 47.4,0.26,-0.21,0.38,0.26,16.31,1.08,1.34,17,02 41 48.44,+42 49 34.4
219,02 38 35.05,+42 36 18.8,0.01,-0.08,0.02,0.01,12.73,0.45,0.42,94,02 41 48.48,+42 49 05.8
220,02 38 35.30,+42 34 18.0,-0.33,0.76,0.06,0.18,15.61,0.86,0.84,0,02 41 48.69,+42 47 05.0
221,02 38 35.59,+42 26 47.2,-0.03,-0.2,0.18,0.16,15.68,0.65,0.72,38,02 41 48.81,+42 39 34.2
222,02 38 35.62,+42 49 07.3,0.65,0.98,0.03,0.03,12.92,     ,     ,0,02 41 49.35,+43 01 54.3
223,02 38 35.77,+42 18 45.0,-0.85,0.64,0.01,0.02,13.58,     ,     ,0,02 41 48.80,+42 31 32.0
224,02 38 36.18,+42 23 51.3,-0.02,0.01,0.05,0.05,14.4,0.84,0.76,91,02 41 49.33,+42 36 38.3
225,02 38 36.26,+42 31 41.9,-0.27,-1.17,0.14,0.22,15.84,     ,     ,0,02 41 49.59,+42 44 28.9
226,02 38 36.34,+42 32 47.1,-0.1,0.06,0.21,0.3,15.73,0.68,0.58,36,02 41 49.70,+42 45 34.1
227,02 38 36.74,+42 24 27.6,0.07,-0.03,0.04,0.04,14.44,0.83,0.79,92,02 41 49.91,+42 37 14.6
228,02 38 36.82,+42 44 34.3,-1.35,0.59,0.27,0.3,16.19,     ,     ,0,02 41 50.45,+42 57 21.3
229,02 38 36.94,+42 31 51.5,-0.04,0,0.29,0.23,16.12,1.37,1.27,46,02 41 50.28,+42 44 38.5
230,02 38 37.24,+42 25 44.0,0.01,0.63,0.01,0.01,12.6,     ,     ,0,02 41 50.44,+42 38 30.9
231,02 38 37.30,+42 38 51.9,0.07,-0.01,0.02,0.02,11.45,0.33,0.3,99,02 41 50.80,+42 51 38.8
232,02 38 37.33,+42 22 11.0,0.71,0.95,0.36,0.42,16,0.62,0.67,0,02 41 50.45,+42 34 57.9
233,02 38 37.41,+42 49 12.2,-0.55,0.42,0.19,0.14,15.21,     ,     ,0,02 41 51.15,+43 01 59.1
234,02 38 37.53,+42 22 47.8,0.16,0.11,0.39,0.21,16.41,0.91,0.93,28,02 41 50.66,+42 35 34.7
235,02 38 37.60,+42 41 26.0,-0.3,0.73,0.04,0.04,14.38,1.03,0.9,0,02 41 51.16,+42 54 12.9
236,02 38 37.69,+42 17 52.6,-0.03,0.18,0.02,0.02,13.3,0.99,0.86,0,02 41 50.71,+42 30 39.5
237,02 38 37.69,+42 47 22.7,0.2,0.06,0.29,0.26,15.92,0.87,0.8,29,02 41 51.39,+43 00 09.6
238,02 38 37.91,+42 42 50.5,-0.37,1.12,0.11,0.06,14.89,     ,     ,0,02 41 51.51,+42 55 37.4
239,02 38 37.97,+42 32 12.9,-0.43,0.36,0.08,0.04,14.45,0.55,0.53,0,02 41 51.32,+42 44 59.8
240,02 38 37.97,+42 41 14.2,0.14,0.2,0.04,0.08,14.51,0.58,0.52,0,02 41 51.53,+42 54 01.1
241,02 38 38.17,+42 21 38.6,-0.4,-0.15,0.09,0.06,14.95,0.85,0.93,0,02 41 51.28,+42 34 25.5
242,02 38 38.26,+42 32 03.1,-0.23,0.48,0.3,0.17,15.86,0.64,0.59,0,02 41 51.61,+42 44 50.0
243,02 38 38.34,+42 31 16.0,1.04,-0.04,0.53,0.31,16.51,1,0.94,0,02 41 51.67,+42 44 02.9
244,02 38 38.38,+42 33 34.2,-0.09,-0.33,0.06,0.06,14.37,0.88,0.8,0,02 41 51.76,+42 46 21.1
245,02 38 38.71,+42 29 20.6,-0.19,0.3,0.15,0.12,15.12,0.55,0.47,0,02 41 52.00,+42 42 07.5
246,02 38 38.90,+42 31 51.5,-0.01,0.07,0.02,0.02,12.18,0.48,0.45,98,02 41 52.24,+42 44 38.4
247,02 38 38.94,+42 28 02.3,-0.3,0.74,0.05,0.04,14.39,0.52,0.51,0,02 41 52.20,+42 40 49.2
248,02 38 39.13,+42 24 41.7,0.47,0.5,0.23,0.1,15.03,     ,     ,0,02 41 52.31,+42 37 28.6
249,02 38 39.19,+42 35 01.6,-0.35,0.87,0.01,0.02,13.46,     ,     ,0,02 41 52.61,+42 47 48.4
250,02 38 39.32,+42 30 17.3,-0.08,0.46,0.03,0.02,13.37,     ,     ,0,02 41 52.63,+42 43 04.1
251,02 38 39.74,+42 40 31.7,-0.1,-0.14,0.02,0.02,13.72,0.74,0.62,1,02 41 53.29,+42 53 18.5
252,02 38 40.16,+42 16 49.8,0.16,0.1,0.2,0.25,15.13,0.85,0.8,15,02 41 53.16,+42 29 36.6
253,02 38 40.52,+42 46 49.8,-0.17,0.55,0.19,0.29,16.27,1.36,1.31,0,02 41 54.22,+42 59 36.6
254,02 38 40.86,+42 39 54.3,-0.21,0.39,0.16,0.17,14.99,1.06,0.99,0,02 41 54.40,+42 52 41.1
255,02 38 40.88,+42 24 42.4,0.54,-0.09,0.16,0.12,15.31,     ,     ,0,02 41 54.07,+42 37 29.2
256,02 38 41.17,+42 27 37.7,-0.31,0.62,0.03,0.03,11.12,0.97,0.99,0,02 41 54.42,+42 40 24.5
257,02 38 41.22,+42 34 58.3,-0.01,0.04,0.01,0.03,12.34,0.46,0.61,99,02 41 54.64,+42 47 45.1
258,02 38 41.44,+42 40 07.4,-0.33,0.07,0.06,0.06,14.36,0.83,0.79,0,02 41 54.98,+42 52 54.1
259,02 38 41.95,+42 35 06.0,0.83,-0.12,0.16,0.15,15.14,     ,     ,0,02 41 55.38,+42 47 52.7
260,02 38 42.14,+42 48 55.7,1.06,-1.68,0.02,0.02,12.36,     ,     ,0,02 41 55.89,+43 01 42.4
261,02 38 42.97,+42 19 46.8,0.65,0.65,0.41,0.25,16.19,0.66,0.55,0,02 41 56.05,+42 32 33.5
262,02 38 43.16,+42 29 32.9,-0.21,0.3,0.17,0.36,16.02,0.78,0.62,3,02 41 56.47,+42 42 19.6
263,02 38 43.61,+42 30 07.3,0.05,0.06,0.17,0.19,15.33,0.63,0.51,67,02 41 56.93,+42 42 53.9
264,02 38 43.68,+42 33 02.4,-0.34,0.62,0.52,0.35,16.26,0.68,0.71,0,02 41 57.07,+42 45 49.0
265,02 38 43.71,+42 47 40.8,0.04,-0.12,0.36,0.26,15.43,1.15,1.19,53,02 41 57.44,+43 00 27.4
266,02 38 44.05,+42 36 02.7,-0.1,0.67,0.35,0.2,14.87,0.85,0.94,0,02 41 57.51,+42 48 49.3
267,02 38 44.09,+42 46 03.5,-0.51,-0.03,0.21,0.2,15.03,0.81,0.68,0,02 41 57.78,+42 58 50.1
268,02 38 44.32,+42 40 36.7,-0.12,-0.27,0.36,0.27,16,1.16,1.35,22,02 41 57.89,+42 53 23.3
269,02 38 44.35,+42 32 51.6,1.4,-0.39,0.24,0.26,15.57,     ,     ,0,02 41 57.74,+42 45 38.2
270,02 38 44.38,+42 36 02.6,0.02,0,0.03,0.02,12.6,0.6,0.48,99,02 41 57.84,+42 48 49.2
271,02 38 44.40,+42 49 02.2,-0.61,0.65,0.34,0.36,15.96,     ,     ,0,02 41 58.16,+43 01 48.8
272,02 38 44.53,+42 27 16.8,0.77,-0.54,0.12,0.15,15.08,     ,     ,0,02 41 57.79,+42 40 03.4
273,02 38 44.84,+42 16 31.5,-0.09,0.33,0.21,0.18,15.5,0.65,0.42,5,02 41 57.85,+42 29 18.1
274,02 38 44.93,+42 40 37.3,0.12,-0.34,0.17,0.24,15.98,0.88,0.95,15,02 41 58.50,+42 53 23.9
275,02 38 44.97,+42 33 17.4,0.03,0.02,0.02,0.01,11.92,0.44,0.43,99,02 41 58.37,+42 46 04.0
276,02 38 45.04,+42 44 44.5,-0.1,0.39,0.22,0.34,15.91,     ,     ,2,02 41 58.70,+42 57 31.1
277,02 38 45.09,+42 40 43.3,0.17,0.38,0.03,0.03,13.79,     ,     ,0,02 41 58.66,+42 53 29.9
278,02 38 45.13,+42 47 16.9,-0.9,0.12,0.25,0.15,14.97,     ,     ,0,02 41 58.85,+43 00 03.5
279,02 38 45.57,+42 26 31.8,0.1,0.08,0.03,0.02,11.44,0.32,0.25,96,02 41 58.81,+42 39 18.4
280,02 38 46.24,+42 28 16.2,0.08,-0.06,0.02,0.02,13.18,0.7,0.71,87,02 41 59.53,+42 41 02.7
281,02 38 46.81,+42 38 14.4,-0.14,0.36,0.03,0.03,14.48,0.54,0.46,0,02 42 00.33,+42 51 00.9
282,02 38 46.92,+42 36 07.8,0.01,0,0.01,0.02,12.8,0.75,0.71,99,02 42 00.39,+42 48 54.3
283,02 38 47.20,+42 44 58.3,-0.09,0.42,0.14,0.17,15.02,     ,     ,0,02 42 00.88,+42 57 44.8
284,02 38 47.42,+42 30 51.1,0.04,0.89,0.43,0.2,16.07,0.5,0.5,0,02 42 00.77,+42 43 37.6
285,02 38 47.53,+42 44 51.5,-0.03,0.55,0.03,0.02,13.05,     ,     ,0,02 42 01.21,+42 57 37.9
286,02 38 47.94,+42 33 17.9,0.23,1.1,0.32,0.23,15.17,     ,     ,0,02 42 01.35,+42 46 04.3
287,02 38 48.13,+42 20 15.7,-0.98,0.66,0.02,0.03,13.81,     ,     ,0,02 42 01.24,+42 33 02.1
288,02 38 48.45,+42 48 27.9,-0.05,-0.11,0.19,0.17,14.89,1.06,0.96,57,02 42 02.21,+43 01 14.3
289,02 38 48.97,+42 39 06.0,0.03,-0.04,0.18,0.24,15.18,0.95,0.97,76,02 42 02.52,+42 51 52.4
290,02 38 49.41,+42 18 12.3,-0.04,-0.07,0.05,0.04,11.4,0.74,0.65,98,02 42 02.47,+42 30 58.7
291,02 38 49.45,+42 27 07.6,0.14,0.7,0.03,0.03,14.03,1.25,1.1,0,02 42 02.72,+42 39 54.0
292,02 38 49.49,+42 34 14.7,0.29,0.07,0.02,0.03,11.85,0.19,0.19,0,02 42 02.93,+42 47 01.1
293,02 38 50.78,+42 49 51.0,-0.36,0.4,0.24,0.2,15.92,0.68,0.71,0,02 42 04.58,+43 02 37.3
294,02 38 50.81,+42 20 04.1,-0.05,-0.72,0.53,0.94,10.09,     ,     ,0,02 42 03.92,+42 32 50.4
295,02 38 50.95,+42 26 59.9,0.99,-0.45,0.15,0.2,16.15,     ,     ,0,02 42 04.22,+42 39 46.2
296,02 38 52.01,+42 28 09.7,0.09,0.01,0.03,0.04,14.11,0.75,0.72,91,02 42 05.31,+42 40 55.9
297,02 38 52.08,+42 38 17.2,-0.02,-0.02,0.02,0.01,12.44,0.56,0.46,99,02 42 05.62,+42 51 03.4
298,02 38 52.30,+42 34 08.2,0.1,0.04,0.04,0.04,14.51,1.01,1,71,02 42 05.74,+42 46 54.4
299,02 38 52.72,+42 16 23.7,0.74,0.5,0.04,0.05,14.22,     ,     ,0,02 42 05.75,+42 29 09.9
300,02 38 52.90,+42 25 41.4,-0.1,0.54,0.05,0.03,14.3,0.63,0.56,0,02 42 06.15,+42 38 27.6
301,02 38 52.96,+42 33 11.4,-0.01,-0.09,0.03,0.03,10.77,0.2,0.18,99,02 42 06.38,+42 45 57.6
302,02 38 53.20,+42 29 26.2,0.92,0.29,0.02,0.02,12.56,0.41,0.59,0,02 42 06.54,+42 42 12.4
303,02 38 53.35,+42 23 35.5,0.06,0.04,0.02,0.02,13.67,0.85,0.82,95,02 42 06.55,+42 36 21.7
304,02 38 53.36,+42 37 53.1,0.9,0.41,0.18,0.33,15.52,     ,     ,0,02 42 06.89,+42 50 39.3
305,02 38 53.38,+42 35 01.2,-0.05,-0.02,0.01,0.02,12.41,0.52,0.49,98,02 42 06.85,+42 47 47.4
306,02 38 53.41,+42 42 18.1,1.11,0.72,0.08,0.12,15.27,     ,     ,0,02 42 07.05,+42 55 04.3
307,02 38 53.48,+42 29 13.0,-0.2,-0.24,0.08,0.04,14.16,0.59,0.62,0,02 42 06.81,+42 41 59.2
308,02 38 53.76,+42 30 33.9,0.19,-0.1,0.26,0.19,15.37,0.7,0.72,10,02 42 07.13,+42 43 20.1
309,02 38 53.84,+42 37 55.4,1.04,-0.21,0.32,0.26,16.6,     ,     ,0,02 42 07.38,+42 50 41.6
310,02 38 54.01,+42 34 41.5,-0.06,-0.21,0.26,0.08,15.73,1.25,1.19,35,02 42 07.47,+42 47 27.6
311,02 38 54.19,+42 19 35.6,0.7,0.16,0.06,0.06,14.57,     ,     ,0,02 42 07.30,+42 32 21.7
312,02 38 54.19,+42 23 00.3,-0.83,-1.12,0.09,0.07,14.91,     ,     ,0,02 42 07.38,+42 35 46.4
313,02 38 54.28,+42 25 20.1,-0.37,-0.02,0.23,0.15,15.96,0.56,0.45,4,02 42 07.53,+42 38 06.2
314,02 38 54.46,+42 24 26.5,0.46,0.25,0.24,0.12,15.59,     ,     ,0,02 42 07.69,+42 37 12.6
315,02 38 54.90,+42 25 56.7,-0.03,0.03,0.02,0.02,13.11,0.6,0.55,97,02 42 08.16,+42 38 42.8
316,02 38 55.09,+42 35 06.6,2.52,-1.24,0.05,0.13,14.69,     ,     ,0,02 42 08.57,+42 47 52.7
317,02 38 55.35,+42 29 01.7,-0.01,-0.05,0.03,0.03,13.42,0.74,0.72,97,02 42 08.68,+42 41 47.8
318,02 38 55.74,+42 35 22.1,-0.16,0.75,0.07,0.06,14.67,0.89,0.92,0,02 42 09.22,+42 48 08.2
319,02 38 55.85,+42 36 57.5,0.04,-0.01,0.02,0.01,13.11,0.79,0.57,98,02 42 09.37,+42 49 43.6
320,02 38 56.01,+42 29 20.3,0.02,-0.03,0.01,0.02,13.48,0.8,0.8,98,02 42 09.35,+42 42 06.4
321,02 38 56.01,+42 28 25.1,-0.28,0.17,0.26,0.33,15.83,0.57,0.56,6,02 42 09.33,+42 41 11.2
322,02 38 56.37,+42 34 54.2,-0.34,0.17,0.29,0.26,16.23,0.87,0.73,3,02 42 09.84,+42 47 40.2
323,02 38 56.66,+42 32 26.1,0.06,-0.02,0.02,0.03,11.23,0.26,0.22,99,02 42 10.08,+42 45 12.1
324,02 38 56.76,+42 21 12.7,-0.18,0.36,0.29,0.14,15.3,0.62,0.64,0,02 42 09.92,+42 33 58.7
325,02 38 56.99,+42 37 52.1,-0.22,0.31,0.03,0.02,13.66,     ,     ,0,02 42 10.54,+42 50 38.1
326,02 38 57.04,+42 37 11.3,-0.09,-1.14,0.04,0.16,10.03,     ,     ,0,02 42 10.57,+42 49 57.3
327,02 38 57.74,+42 37 51.3,-0.14,-0.09,0.06,0.03,14.49,0.91,0.91,0,02 42 11.29,+42 50 37.3
328,02 38 57.85,+42 36 39.8,0.29,0.11,0.45,0.23,16.67,0.77,0.63,12,02 42 11.37,+42 49 25.8
329,02 38 57.86,+42 17 51.7,-0.03,-0.05,0.03,0.02,12.11,0.48,0.39,98,02 42 10.95,+42 30 37.7
330,02 38 58.29,+42 31 03.1,-0.18,-0.2,0.07,0.15,15.64,1.05,1.13,23,02 42 11.68,+42 43 49.0
331,02 38 58.40,+42 46 14.1,0.06,0.05,0.02,0.02,13.02,0.64,0.59,95,02 42 12.15,+42 59 00.0
332,02 38 58.64,+42 34 25.8,-0.02,-0.06,0.05,0.08,10.02,0.08,-0.03,99,02 42 12.11,+42 47 11.7
333,02 38 58.73,+42 22 54.3,-0.22,0.78,0.14,0.21,15.28,0.69,0.68,0,02 42 11.93,+42 35 40.2
334,02 38 59.23,+42 30 34.2,0.57,-0.21,0.11,0.15,14.74,     ,     ,0,02 42 12.61,+42 43 20.1
335,02 38 59.53,+42 30 54.0,0.03,0.04,0.02,0.01,13.52,0.69,0.62,97,02 42 12.92,+42 43 39.9
336,02 38 59.59,+42 42 59.1,1.51,0.23,0.02,0.01,12.83,     ,     ,0,02 42 13.26,+42 55 45.0
337,02 38 59.62,+42 37 19.6,-0.04,0.28,0.24,0.33,16.38,0.77,0.49,10,02 42 13.16,+42 50 05.5
338,02 38 59.74,+42 24 31.8,0.05,-0.01,0.03,0.03,11.03,0.38,0.31,99,02 42 12.99,+42 37 17.7
339,02 38 59.80,+42 35 43.4,0.24,1.02,0.22,0.11,16.21,0.84,0.66,0,02 42 13.31,+42 48 29.3
340,02 39 00.04,+42 27 14.5,-0.42,0.78,0.14,0.22,15.94,     ,     ,0,02 42 13.35,+42 40 00.4
341,02 39 00.10,+42 28 12.6,0.17,0.37,0.26,0.17,15.61,0.72,0.64,2,02 42 13.43,+42 40 58.5
342,02 39 00.26,+42 43 03.0,0.05,0.16,0.02,0.03,14.2,0.92,0.95,17,02 42 13.94,+42 55 48.8
343,02 39 00.52,+42 38 38.5,0.9,-3.87,0.01,0.01,12.19,     ,     ,0,02 42 14.10,+42 51 24.3
344,02 39 00.54,+42 47 13.8,-0.6,0.36,0.31,0.25,16.05,0.65,0.78,0,02 42 14.32,+42 59 59.6
345,02 39 00.90,+42 40 04.9,1.7,-0.29,0.03,0.05,10.49,     ,     ,0,02 42 14.51,+42 52 50.7
346,02 39 01.22,+42 41 48.5,0.27,-0.04,0.02,0.02,13.18,0.69,0.64,0,02 42 14.87,+42 54 34.3
347,02 39 01.75,+42 18 40.5,-1.08,0.97,0.24,0.21,15.69,     ,     ,0,02 42 14.87,+42 31 26.3
348,02 39 01.77,+42 21 16.3,-0.17,0.55,0.18,0.42,16.25,0.46,0.51,0,02 42 14.95,+42 34 02.1
349,02 39 01.81,+42 15 50.9,0.28,0.27,0.06,0.1,13.62,     ,     ,0,02 42 14.86,+42 28 36.7
350,02 39 01.87,+42 35 48.0,-0.17,0.59,0.18,0.22,15.14,1.05,0.99,0,02 42 15.38,+42 48 33.8
351,02 39 02.47,+42 36 06.6,0.5,0.23,0.13,0.2,16.12,0.92,0.77,0,02 42 15.99,+42 48 52.4
352,02 39 02.83,+42 40 03.2,-0.08,0.1,0.03,0.02,11.44,0.34,0.29,91,02 42 16.45,+42 52 48.9
353,02 39 03.14,+42 38 47.1,0.29,0.7,0.23,0.25,15.93,0.76,0.75,0,02 42 16.73,+42 51 32.8
354,02 39 03.55,+42 31 50.8,0.24,0.66,0.1,0.14,15.46,1.1,1.09,0,02 42 16.98,+42 44 36.5
355,02 39 03.56,+42 23 22.5,-1.61,0.24,0.01,0.02,12.1,     ,     ,0,02 42 16.79,+42 36 08.2
356,02 39 03.69,+42 35 33.8,0.29,-0.09,0.23,0.29,15.86,1.16,1.26,18,02 42 17.21,+42 48 19.5
357,02 39 04.17,+42 36 18.5,-2.21,0.8,0.28,0.16,15.63,     ,     ,0,02 42 17.70,+42 49 04.2
358,02 39 04.18,+42 22 19.0,0.09,0.27,0.39,0.31,15.84,0.32,0.35,11,02 42 17.39,+42 35 04.7
359,02 39 04.73,+42 31 07.2,-0.01,0.19,0.1,0.2,15.45,0.5,0.51,7,02 42 18.15,+42 43 52.8
360,02 39 04.74,+42 30 36.3,0.14,0.77,0.16,0.19,15.74,0.64,0.56,0,02 42 18.14,+42 43 21.9
361,02 39 05.31,+42 32 24.6,-1.47,0.07,0.03,0.05,14.46,     ,     ,0,02 42 18.76,+42 45 10.2
362,02 39 05.41,+42 34 04.0,-0.05,0,0.01,0.02,12.49,0.61,0.56,98,02 42 18.90,+42 46 49.6
363,02 39 05.80,+42 21 42.3,18.56,4.31,0.21,0.17,16.37,     ,     ,0,02 42 19.00,+42 34 27.9
364,02 39 05.93,+42 22 30.0,-0.71,0.89,0.33,0.25,15.8,     ,     ,0,02 42 19.15,+42 35 15.6
365,02 39 05.98,+42 37 31.1,0.42,-0.04,0.19,0.24,15.62,0.86,0.78,4,02 42 19.55,+42 50 16.7
366,02 39 06.10,+42 17 19.4,0.03,-0.08,0.04,0.06,13.72,0.73,0.65,94,02 42 19.20,+42 30 05.0
367,02 39 06.38,+42 37 48.7,-0.1,0.32,0.24,0.27,15.71,0.71,0.58,5,02 42 19.96,+42 50 34.3
368,02 39 06.59,+42 29 51.7,0.49,0.91,0.4,0.15,15.58,     ,     ,0,02 42 19.98,+42 42 37.3
369,02 39 06.92,+42 42 51.6,0.15,0.4,0.16,0.14,15.11,0.67,0.67,0,02 42 20.62,+42 55 37.1
370,02 39 07.36,+42 33 57.4,0.67,1.02,0.12,0.21,15.51,     ,     ,0,02 42 20.85,+42 46 42.9
371,02 39 07.39,+42 30 53.6,0.53,-0.05,0.16,0.08,15.23,1.02,0.97,0,02 42 20.81,+42 43 39.1
372,02 39 07.75,+42 34 51.9,0.24,0.81,0.17,0.12,15.95,0.55,0.46,0,02 42 21.26,+42 47 37.4
373,02 39 08.04,+42 19 12.5,0.21,0.16,0.03,0.03,13.76,0.53,0.43,0,02 42 21.19,+42 31 58.0
374,02 39 08.29,+42 18 43.3,-0.01,-0.02,0.01,0.03,11.64,0.44,0.37,99,02 42 21.43,+42 31 28.8
375,02 39 08.51,+42 46 28.7,-0.03,0,0.06,0.04,13.8,0.79,0.77,95,02 42 22.30,+42 59 14.2
376,02 39 08.56,+42 32 59.0,0.09,0.44,0.04,0.05,13.59,     ,     ,0,02 42 22.03,+42 45 44.5
377,02 39 08.71,+42 19 28.2,0.08,-0.09,0.04,0.04,14.13,0.94,0.9,81,02 42 21.87,+42 32 13.7
378,02 39 09.05,+42 21 45.4,0.13,-0.08,0.06,0.07,15.08,0.51,0.52,42,02 42 22.26,+42 34 30.8
379,02 39 09.15,+42 37 05.9,1.3,0.19,0.05,0.05,14.85,     ,     ,0,02 42 22.72,+42 49 51.3
380,02 39 09.18,+42 44 44.4,0.27,0.01,0.09,0.05,14.58,0.85,0.8,0,02 42 22.93,+42 57 29.8
381,02 39 09.24,+42 41 38.0,-0.4,0.63,0.27,0.11,16.29,0.69,0.74,0,02 42 22.92,+42 54 23.4
382,02 39 09.43,+42 23 17.6,0.06,1.04,0.06,0.04,11.19,     ,     ,0,02 42 22.68,+42 36 03.0
383,02 39 09.56,+42 17 32.8,0.02,0.24,0.03,0.04,13.95,1.08,0.99,0,02 42 22.68,+42 30 18.2
384,02 39 10.39,+42 19 46.7,4.75,-5.05,0.03,0.02,13.39,     ,     ,0,02 42 23.56,+42 32 32.1
385,02 39 10.77,+42 36 49.5,4.8,-0.73,0.02,0.03,12.01,     ,     ,0,02 42 24.34,+42 49 34.9
386,02 39 11.21,+42 22 51.1,0.18,0.83,0.21,0.26,15.64,0.61,0.69,0,02 42 24.46,+42 35 36.4
387,02 39 11.27,+42 18 13.8,0.19,-0.11,0.02,0.03,13.06,0.89,0.84,0,02 42 24.41,+42 30 59.1
388,02 39 11.86,+42 42 07.4,-0.23,0.8,0.52,0.41,16.05,0.6,0.79,0,02 42 25.56,+42 54 52.7
389,02 39 12.05,+42 44 18.2,-0.14,0.83,0.28,0.17,15.69,0.56,0.56,0,02 42 25.80,+42 57 03.5
390,02 39 12.10,+42 19 36.8,0.43,-0.05,0.08,0.05,15.13,0.8,0.77,0,02 42 25.27,+42 32 22.1
391,02 39 12.15,+42 36 21.1,0.66,0.4,0.27,0.15,15.25,     ,     ,0,02 42 25.71,+42 49 06.4
392,02 39 12.21,+42 28 24.3,-0.05,0.05,0.26,0.15,15.49,1.01,1.02,62,02 42 25.59,+42 41 09.6
393,02 39 12.62,+42 44 57.2,-0.41,-0.68,0.27,0.13,15.52,     ,     ,0,02 42 26.38,+42 57 42.5
394,02 39 12.71,+42 38 33.0,-0.23,0.46,0.02,0.03,13.96,0.55,0.49,0,02 42 26.33,+42 51 18.3
395,02 39 12.71,+42 15 59.8,0.72,-0.32,0.05,0.1,14.11,     ,     ,0,02 42 25.80,+42 28 45.1
396,02 39 12.83,+42 30 57.2,-0.05,0.3,0.08,0.11,14.81,     ,     ,0,02 42 26.27,+42 43 42.5
397,02 39 13.17,+42 17 28.8,-0.04,-0.04,0.17,0.13,14.74,0.9,0.83,85,02 42 26.30,+42 30 14.1
398,02 39 13.61,+42 49 17.9,0.27,-0.16,0.23,0.18,14.83,0.78,0.64,0,02 42 27.48,+43 02 03.1
399,02 39 13.62,+42 45 22.0,0.82,0.28,0.17,0.11,14.97,     ,     ,0,02 42 27.40,+42 58 07.2
400,02 39 13.67,+42 37 04.9,-0.12,-0.12,0.02,0.02,12.89,0.59,0.57,4,02 42 27.25,+42 49 50.1
401,02 39 13.80,+42 33 40.6,0.61,0.35,0.08,0.13,15.12,     ,     ,0,02 42 27.31,+42 46 25.8
402,02 39 13.82,+42 43 37.8,-0.38,0.84,0.14,0.12,14.98,     ,     ,0,02 42 27.56,+42 56 23.0
403,02 39 13.88,+42 43 22.5,0.21,0.43,0.25,0.16,15.92,0.89,0.8,1,02 42 27.61,+42 56 07.7
404,02 39 14.21,+42 33 31.8,0.02,-0.02,0.02,0.02,12.34,0.52,0.49,99,02 42 27.71,+42 46 17.0
405,02 39 14.28,+42 23 37.0,0.04,0.28,0.4,0.16,16.09,0.72,0.83,11,02 42 27.55,+42 36 22.2
406,02 39 14.67,+42 33 01.5,0.05,0.24,0.25,0.19,15.93,0.62,0.48,16,02 42 28.16,+42 45 46.7
407,02 39 14.80,+42 32 17.1,0.18,-0.21,0.3,0.19,15.96,1.19,1.2,27,02 42 28.28,+42 45 02.3
408,02 39 15.80,+42 49 32.8,0.35,0.27,0.04,0.03,13.02,     ,     ,0,02 42 29.68,+43 02 17.9
409,02 39 16.23,+42 29 12.3,1.24,0.26,0.07,0.05,14.7,     ,     ,0,02 42 29.64,+42 41 57.4
410,02 39 16.28,+42 23 21.6,0.46,0.47,0.03,0.03,10.95,     ,     ,0,02 42 29.55,+42 36 06.7
411,02 39 16.39,+42 25 12.5,-0.09,0.74,0.19,0.12,15.01,0.48,0.5,0,02 42 29.71,+42 37 57.6
412,02 39 16.45,+42 28 49.3,0.08,0.15,0.07,0.07,14.88,0.69,0.57,7,02 42 29.85,+42 41 34.4
413,02 39 16.49,+42 46 54.1,0.89,-0.32,0.17,0.16,15.92,     ,     ,0,02 42 30.31,+42 59 39.2
414,02 39 16.65,+42 21 10.8,0.47,0.08,0.22,0.16,15.83,     ,     ,1,02 42 29.88,+42 33 55.9
415,02 39 16.78,+42 28 01.9,0.05,0.05,0.05,0.03,14.12,0.78,0.77,93,02 42 30.16,+42 40 47.0
416,02 39 16.94,+42 38 32.4,-0.37,-0.61,0.13,0.05,14.72,     ,     ,0,02 42 30.57,+42 51 17.5
