ID Number,X Position,Y Position,B,Sigma 1 B,Sigma 2 B,V,Sigma 1 V,Sigma 2 V,R,Sigma 1 R,Sigma 2 R,I,Sigma 1 I,Sigma 2 I,nB,nV,nR,nI,RA,Declination ,,,,,,
500810,1560.28,-321.52,18.144,0.023,0,17.067,0.02,0,16.409,0.018,0,15.823,0.019,0,2,3,3,3,40.84788,42.67237,2,43,23.49,42,40,20.5
502671,107.1,1520.12,17.65,0.023,0,17.067,0.019,0,16.72,0.019,0,16.357,0.022,0,3,3,3,2,40.36167,42.93597,2,41,26.8,42,56,9.5
2153,1358.02,344.86,17.81,0.012,0.009,17.068,0.01,0.004,16.643,0.011,0.002,16.231,0.01,0.001,9,18,10,17,40.67499,42.70686,2,42,42,42,42,24.7
500753,2595.71,-352.05,17.979,0.022,0,17.069,0.021,0,16.508,0.018,0,15.988,0.021,0,2,3,3,3,40.8633,42.47689,2,43,27.19,42,28,36.8
501512,2489.39,310.52,17.591,0.036,0,17.073,0.026,0,16.768,0.029,0,16.438,0.027,0,1,2,2,2,40.69269,42.49329,2,42,46.25,42,29,35.8
501775,-456.37,643.3,18.032,0.02,0,17.075,0.024,0,16.469,0.018,0,15.936,0.018,0,3,2,3,3,40.5834,43.04791,2,42,20.02,43,2,52.5
501150,-247.39,-72.01,17.787,0.022,0,17.076,0.026,0,16.671,0.018,0,16.271,0.025,0,3,2,3,2,40.76999,43.01257,2,43,4.8,43,0,45.2
503336,729.54,2182.43,17.897,0.024,0,17.078,0.02,0,16.6,0.017,0,16.174,0.019,0,2,3,3,3,40.19658,42.81396,2,40,47.18,42,48,50.2
501980,2166.35,887.49,17.91,0.021,0,17.08,0.02,0,16.613,0.019,0,16.197,0.019,0,2,3,3,3,40.54214,42.5509,2,42,10.11,42,33,3.3
503147,-181.97,2053.33,17.715,0.021,0,17.08,0.019,0,16.687,0.018,0,16.291,0.019,0,3,3,3,3,40.22136,42.98703,2,40,53.13,42,59,13.3
794,1230.21,126.69,17.874,0.013,0.01,17.083,0.01,0.001,16.6,0.011,0.009,16.104,0.01,0.004,9,18,9,17,40.73011,42.73226,2,42,55.23,42,43,56.1
501346,-429.72,129.04,17.635,0.02,0,17.087,0.027,0,16.761,0.019,0,16.395,0.02,0,3,2,2,3,40.7166,43.04588,2,42,51.99,43,2,45.2
503812,-410.71,2510.97,17.919,0.022,0,17.087,0.019,0,16.615,0.019,0,16.154,0.019,0,2,3,3,3,40.10093,43.02706,2,40,24.22,43,1,37.4
500314,1612.55,-646.66,17.637,0.02,0,17.089,0.019,0,16.76,0.019,0,16.426,0.021,0,2,3,3,3,40.93183,42.66423,2,43,43.64,42,39,51.2
502266,-677.16,1141.74,17.826,0.024,0,17.091,0.021,0,16.643,0.023,0,16.18,0.026,0,2,2,2,2,40.4526,43.08656,2,41,48.62,43,5,11.6
6098,1016.8,993.4,17.77,0.015,0.03,17.095,0.011,0.009,16.667,0.013,0.021,16.288,0.011,0.006,9,19,10,17,40.50532,42.76744,2,42,1.28,42,46,2.8
501903,2483.03,791.25,17.884,0.022,0,17.096,0.019,0,16.664,0.018,0,16.245,0.02,0,2,3,3,3,40.56943,42.49166,2,42,16.66,42,29,30
10147,1457.31,1712.9,17.767,0.012,0.004,17.098,0.011,0.007,16.692,0.011,0,16.294,0.011,0,10,18,10,17,40.32407,42.67963,2,41,17.78,42,40,46.7
500638,-631.2,-435.01,99.999,9.999,9.999,17.099,0.027,0,16.756,0.018,0,16.386,0.021,0,0,2,2,2,40.861,43.08708,2,43,26.64,43,5,13.5
10281,1905.93,1739.09,18.238,0.013,0.019,17.1,0.011,0.005,16.419,0.011,0.002,15.855,0.011,0.002,9,18,9,15,40.32136,42.5947,2,41,17.13,42,35,40.9
503993,1175.04,2617.48,17.601,0.021,0,17.1,0.021,0,16.768,0.018,0,16.428,0.021,0,3,3,3,3,40.08884,42.72676,2,40,21.32,42,43,36.3
6378,799.28,1042.73,17.663,0.01,0.01,17.101,0.009,0.004,16.75,0.009,0.006,16.406,0.009,0.004,12,20,13,19,40.49078,42.80823,2,41,57.79,42,48,29.6
503203,1247.02,2096.09,18.052,0.025,0,17.102,0.021,0,16.52,0.019,0,16.027,0.021,0,2,3,3,3,40.22362,42.71679,2,40,53.67,42,43,0.4
504168,1554.45,2739.52,17.621,0.022,0,17.105,0.021,0,16.749,0.019,0,16.384,0.023,0,3,3,3,3,40.06116,42.65422,2,40,14.68,42,39,15.2
502983,-74.22,1848.41,18.039,0.024,0,17.108,0.019,0,16.572,0.018,0,16.071,0.019,0,1,3,3,3,40.27528,42.96806,2,41,6.07,42,58,5
501164,1824.42,-58.93,17.721,0.019,0,17.108,0.02,0,16.744,0.018,0,16.36,0.02,0,2,3,3,3,40.78237,42.62102,2,43,7.77,42,37,15.7
502604,2658.97,1454.76,17.936,0.025,0,17.108,0.021,0,16.664,0.019,0,16.208,0.021,0,2,3,3,3,40.40091,42.45429,2,41,36.22,42,27,15.4
502094,-243.35,990.37,17.812,0.015,0.056,17.109,0.017,0.034,16.695,0.013,0.01,16.25,0.014,0.017,6,4,6,5,40.49545,43.00555,2,41,58.91,43,0,20
500438,2656.04,-554.76,17.764,0.02,0,17.112,0.019,0,16.719,0.019,0,16.331,0.021,0,3,3,3,3,40.91568,42.46657,2,43,39.76,42,27,59.7
847,1430.17,134.93,17.813,0.012,0.013,17.112,0.01,0.007,16.722,0.011,0.001,16.32,0.011,0.009,9,17,10,17,40.72954,42.69443,2,42,55.09,42,41,39.9
504469,2014.63,2958.44,99.999,9.999,9.999,17.113,0.02,0,16.523,0.018,0,15.999,0.02,0,0,3,3,3,40.00948,42.56571,2,40,2.27,42,33,56.6
503729,1436.24,2451.5,17.849,0.022,0,17.115,0.023,0,16.644,0.019,0,16.228,0.024,0,3,3,3,3,40.13403,42.67859,2,40,32.17,42,40,42.9
501370,-155.8,158.25,18.014,0.021,0,17.116,0.025,0,16.61,0.018,0,16.106,0.018,0,3,2,3,3,40.7112,42.99396,2,42,50.69,42,59,38.3
7123,1659.31,1168.83,17.84,0.011,0.01,17.117,0.009,0.007,16.693,0.009,0.005,16.258,0.009,0.005,12,21,13,20,40.46565,42.64496,2,41,51.76,42,38,41.9
500166,571.82,-739.67,99.999,9.999,9.999,17.119,0.025,0,16.664,0.023,0,16.181,0.018,0,0,2,2,3,40.94839,42.86137,2,43,47.61,42,51,40.9
503600,2014.25,2361.59,17.783,0.022,0,17.119,0.026,0,16.722,0.022,0,16.321,0.023,0,2,3,2,3,40.1626,42.57003,2,40,39.02,42,34,12.1
502877,-194.29,1721.02,18.142,0.026,0,17.123,0.019,0,16.5,0.018,0,15.965,0.024,0,3,3,3,2,40.30709,42.99159,2,41,13.7,42,59,29.7
501920,127.44,810.18,18.544,0.024,0,17.125,0.026,0,16.18,0.017,0,15.348,0.018,0,2,2,3,3,40.54511,42.9366,2,42,10.83,42,56,11.8
8899,1806.69,1489.41,17.766,0.013,0.007,17.127,0.011,0.003,16.761,0.011,0.002,16.381,0.011,0.003,10,18,10,17,40.38458,42.61508,2,41,32.3,42,36,54.3
502050,2546.89,953.86,17.679,0.017,0.018,17.127,0.016,0.039,16.79,0.014,0.027,16.401,0.016,0.016,4,5,6,6,40.52828,42.4786,2,42,6.79,42,28,43
502828,-426.55,1674.55,17.542,0.02,0,17.128,0.019,0,16.873,0.018,0,16.611,0.02,0,3,3,3,3,40.317,43.03578,2,41,16.08,43,2,8.8
502141,2243.77,1032.18,18.262,0.016,0.022,17.128,0.015,0.002,16.467,0.013,0.009,15.817,0.016,0.005,4,6,6,5,40.50567,42.53539,2,42,1.36,42,32,7.4
502319,2127,1191.6,17.921,0.015,0.008,17.129,0.015,0.012,16.693,0.013,0.024,16.288,0.015,0.015,5,6,6,6,40.46379,42.55646,2,41,51.31,42,33,23.3
503728,1609.66,2445.08,18.497,0.025,0,17.129,0.021,0,16.232,0.019,0,15.418,0.021,0,2,3,3,3,40.13733,42.64588,2,40,32.96,42,38,45.2
502704,2702.35,1553.13,17.759,0.022,0,17.131,0.023,0,16.786,0.018,0,16.385,0.022,0,3,3,3,3,40.3761,42.44546,2,41,30.26,42,26,43.7
503618,2341.36,2370.23,99.999,9.999,9.999,17.132,0.022,0,16.515,0.019,0,15.934,0.024,0,0,3,3,3,40.16347,42.50818,2,40,39.23,42,30,29.4
500356,1206.75,-609.03,17.85,0.021,0,17.132,0.019,0,16.711,0.021,0,16.283,0.026,0,2,3,3,2,40.91926,42.74071,2,43,40.62,42,44,26.6
500704,480.15,-387.92,18.075,0.023,0,17.134,0.026,0,16.397,0.022,0,15.794,0.018,0,2,2,2,3,40.85702,42.87683,2,43,25.69,42,52,36.6
503101,2469.83,2003.12,17.63,0.022,0,17.134,0.025,0,16.846,0.024,0,16.455,0.022,0,3,3,3,3,40.25874,42.48642,2,41,2.1,42,29,11.1
503601,442.08,2361.52,17.703,0.021,0,17.135,0.022,0,16.735,0.019,0,16.353,0.019,0,3,3,3,3,40.14771,42.86702,2,40,35.45,42,52,1.3
11674,655.75,2004.83,17.993,0.013,0.028,17.136,0.01,0.007,16.582,0.011,0.019,16.075,0.011,0.001,9,17,10,16,40.24164,42.82911,2,40,57.99,42,49,44.8
501429,-416.67,217.77,17.904,0.021,0,17.138,0.027,0,16.704,0.018,0,16.262,0.02,0,2,2,3,3,40.69376,43.04291,2,42,46.5,43,2,34.5
501832,2488.6,704.59,17.844,0.022,0,17.138,0.019,0,16.717,0.02,0,16.29,0.021,0,2,3,3,3,40.59168,42.49113,2,42,22,42,29,28.1
9120,1696.28,1529.5,17.708,0.012,0.015,17.138,0.011,0.002,16.775,0.011,0.005,16.412,0.011,0.002,10,18,10,17,40.37332,42.63568,2,41,29.6,42,38,8.4
502984,2057.06,1852.18,17.679,0.021,0,17.139,0.022,0,16.784,0.019,0,16.411,0.025,0,3,3,3,3,40.2937,42.5654,2,41,10.49,42,33,55.5
502434,-149.69,1304.48,17.54,0.021,0,17.14,0.019,0,16.847,0.017,0,16.516,0.019,0,3,3,3,3,40.4151,42.98587,2,41,39.62,42,59,9.1
503498,1404.16,2302.76,17.679,0.022,0,17.141,0.022,0,16.82,0.019,0,16.49,0.033,0,3,3,3,2,40.17195,42.68569,2,40,41.27,42,41,8.5
503294,1957.06,2156.86,18.324,0.027,0,17.145,0.022,0,16.429,0.019,0,15.792,0.022,0,2,3,3,3,40.2146,42.58224,2,40,51.5,42,34,56.1
500012,1183.25,-858.4,17.977,0.028,0,17.146,0.031,0,16.672,0.032,0,16.17,0.027,0,2,2,2,2,40.98327,42.74644,2,43,55.99,42,44,47.2
2958,1263.3,471.91,18.575,0.016,0.014,17.148,0.01,0.001,16.23,0.011,0.005,15.365,0.01,0,9,18,9,17,40.64155,42.72401,2,42,33.97,42,43,26.4
502969,-536.73,1824.9,17.678,0.021,0,17.148,0.02,0,16.801,0.018,0,16.442,0.021,0,3,3,3,3,40.27712,43.05559,2,41,6.51,43,3,20.1
500686,2469.81,-401.29,17.73,0.021,0,17.149,0.02,0,16.78,0.019,0,16.405,0.02,0,2,2,3,3,40.87501,42.50094,2,43,30,42,30,3.4
504015,2388.7,2626.42,99.999,9.999,9.999,17.15,0.021,0,16.045,0.018,0,14.682,0.021,0,0,3,3,3,40.09826,42.49744,2,40,23.58,42,29,50.8
6658,887.25,1086.16,17.74,0.018,0.02,17.152,0.011,0.015,16.792,0.011,0.012,16.387,0.01,0.014,6,18,11,19,40.48034,42.79134,2,41,55.28,42,47,28.8
4552,652.58,748.82,18.667,0.015,0.03,17.155,0.011,0.004,16.134,0.011,0.002,15.084,0.01,0.005,9,17,10,17,40.56529,42.83775,2,42,15.67,42,50,15.9
502794,-133.31,1649.41,17.79,0.022,0,17.155,0.021,0,16.761,0.02,0,16.287,0.023,0,3,3,3,3,40.32614,42.98055,2,41,18.27,42,58,50
8426,1456.55,1401.89,17.91,0.013,0.006,17.155,0.011,0.003,16.721,0.012,0.005,16.293,0.011,0.003,9,18,9,16,40.40401,42.68179,2,41,36.96,42,40,54.5
501365,2150.56,152.1,18.228,0.023,0,17.156,0.019,0,16.502,0.019,0,15.985,0.037,0,2,3,3,2,40.73069,42.55822,2,42,55.37,42,33,29.6
500443,2354.86,-549.9,18.081,0.022,0,17.156,0.02,0,16.624,0.018,0,16.136,0.021,0,2,3,3,3,40.91228,42.52345,2,43,38.95,42,31,24.4
502864,2537.21,1713.67,17.817,0.022,0,17.157,0.023,0,16.788,0.019,0,16.359,0.028,0,2,3,3,3,40.33352,42.47561,2,41,20.04,42,28,32.2
502530,-712.95,1383.94,18.284,0.032,0,17.157,0.024,0,16.562,0.022,0,15.94,0.023,0,1,2,2,2,40.38961,43.09178,2,41,33.51,43,5,30.4
390,546,61.86,17.986,0.013,0.018,17.157,0.012,0.002,16.686,0.012,0.027,16.226,0.011,0.023,8,15,9,15,40.74153,42.8619,2,42,57.97,42,51,42.9
501360,18.96,149.36,18.007,0.021,0,17.159,0.03,0,16.657,0.018,0,16.156,0.018,0,2,2,3,3,40.71486,42.96099,2,42,51.57,42,57,39.6
503445,1739.46,2257.56,18.272,0.025,0,17.159,0.021,0,16.455,0.018,0,15.834,0.022,0,3,3,3,3,40.18672,42.62266,2,40,44.81,42,37,21.6
500593,173.41,-466.23,99.999,9.999,9.999,17.159,0.025,0,16.887,0.018,0,16.525,0.019,0,0,2,3,3,40.87498,42.93521,2,43,29.99,42,56,6.8
6129,207.65,999.39,18.036,0.011,0.006,17.161,0.01,0.008,16.638,0.009,0.009,16.197,0.009,0.012,11,16,12,16,40.49695,42.92028,2,41,59.27,42,55,13
500041,841.61,-829.75,99.999,9.999,9.999,17.161,0.031,0,16.788,0.018,0,16.374,0.018,0,0,2,3,3,40.97351,42.81085,2,43,53.64,42,48,39.1
500469,-265.92,-534.63,99.999,9.999,9.999,17.162,0.029,0,16.793,0.018,0,16.381,0.019,0,0,2,3,3,40.88944,43.01859,2,43,33.47,43,1,6.9
7266,535.26,1194.26,17.694,0.012,0.001,17.162,0.01,0.003,16.834,0.011,0.002,16.483,0.011,0.001,10,18,10,17,40.44948,42.85717,2,41,47.87,42,51,25.8
5941,1207.94,965.78,18.096,0.012,0.015,17.162,0.01,0.006,16.624,0.011,0.003,16.104,0.01,0.003,12,19,11,20,40.51404,42.7315,2,42,3.37,42,43,53.4
503632,2582.28,2380.88,99.999,9.999,9.999,17.164,0.022,0,16.793,0.019,0,16.351,0.022,0,0,3,3,3,40.16301,42.46259,2,40,39.12,42,27,45.3
500574,1039.54,-474.87,18.509,0.019,0.042,17.164,0.018,0.038,16.245,0.017,0.015,15.506,0.014,0.03,4,4,5,5,40.88352,42.77159,2,43,32.04,42,46,17.7
500070,2750.13,-806.93,18.672,0.076,0,17.165,0.022,0,16.156,0.025,0,15.27,0.029,0,1,3,3,2,40.98095,42.4501,2,43,55.43,42,27,0.4
6603,618.25,1077.57,18.7,0.013,0.021,17.165,0.01,0.003,16.159,0.009,0.004,15.132,0.008,0.003,11,20,13,20,40.48027,42.84222,2,41,55.26,42,50,32
6041,1691.66,984.98,18.463,0.013,0.002,17.166,0.009,0.003,16.345,0.009,0.017,15.623,0.009,0.006,11,20,13,20,40.51316,42.63999,2,42,3.16,42,38,24
502211,137.43,1097.06,17.749,0.014,0.03,17.17,0.015,0.009,16.796,0.013,0.001,16.414,0.013,0.002,6,5,6,6,40.47114,42.93294,2,41,53.07,42,55,58.6
500615,2454.31,-448.38,17.755,0.021,0,17.17,0.02,0,16.812,0.02,0,16.44,0.021,0,3,3,3,3,40.88697,42.50412,2,43,32.87,42,30,14.8
11655,1440.99,1999.39,18.13,0.014,0.011,17.171,0.011,0.001,16.591,0.011,0.001,16.027,0.011,0.005,9,18,10,17,40.25028,42.6808,2,41,0.07,42,40,50.9
504370,1035.13,2871.38,18.64,0.023,0.018,17.171,0.017,0.025,16.252,0.014,0.011,15.421,0.016,0.013,4,6,5,3,40.02215,42.75136,2,40,5.32,42,45,4.9
500823,1690.06,-312.52,17.836,0.021,0,17.173,0.019,0,16.777,0.02,0,16.392,0.022,0,2,3,3,3,40.84652,42.6478,2,43,23.17,42,38,52.1
500382,1283.25,-592.32,17.979,0.022,0,17.174,0.021,0,16.746,0.02,0,16.295,0.025,0,2,2,3,3,40.91551,42.72617,2,43,39.72,42,43,34.2
500585,2701.6,-469.61,17.703,0.024,0,17.174,0.021,0,16.833,0.02,0,16.443,0.022,0,2,3,3,3,40.89419,42.45751,2,43,34.61,42,27,27
501216,1628.71,-13.42,17.981,0.021,0,17.176,0.02,0,16.671,0.02,0,16.194,0.021,0,2,3,3,3,40.7692,42.65775,2,43,4.61,42,39,27.9
636,230.6,101.31,17.88,0.013,0.028,17.176,0.012,0.009,16.742,0.012,0.031,16.33,0.011,0.006,10,13,8,11,40.72891,42.92128,2,42,54.94,42,55,16.6
11352,1469.77,1942.97,17.838,0.012,0.004,17.176,0.011,0.002,16.769,0.011,0.007,16.367,0.011,0.002,10,18,10,17,40.26504,42.67575,2,41,3.61,42,40,32.7
500892,2231.91,-262.33,17.623,0.019,0,17.177,0.021,0,16.888,0.02,0,16.56,0.022,0,2,3,3,3,40.83763,42.54515,2,43,21.03,42,32,42.5
502010,-256.71,917.52,18.045,0.016,0.008,17.179,0.016,0.043,16.65,0.013,0.023,16.104,0.014,0.012,5,5,6,6,40.51417,43.00852,2,42,3.4,43,0,30.7
9876,377.65,1665.06,17.877,0.012,0.025,17.185,0.011,0.005,16.768,0.011,0.001,16.352,0.011,0.003,10,18,10,17,40.3267,42.88391,2,41,18.41,42,53,2.1
6241,1479.43,1018.52,18.583,0.013,0.015,17.186,0.009,0.004,16.309,0.01,0.004,15.54,0.01,0.004,11,21,12,19,40.50276,42.67988,2,42,0.66,42,40,47.6
500384,1346.84,-591.46,18.303,0.024,0,17.186,0.02,0,16.496,0.019,0,15.901,0.019,0,2,3,3,3,40.91574,42.71415,2,43,39.78,42,42,50.9
500653,-262.6,-424.03,99.999,9.999,9.999,17.188,0.028,0,16.488,0.017,0,15.879,0.018,0,0,2,3,3,40.86087,43.01737,2,43,26.61,43,1,2.5
504049,266.56,2655.39,17.792,0.021,0,17.188,0.021,0,16.826,0.019,0,16.454,0.021,0,2,3,3,3,40.07024,42.8981,2,40,16.86,42,53,53.2
502512,91.9,1371.27,18.102,0.025,0,17.188,0.019,0,16.658,0.019,0,16.182,0.019,0,3,3,3,3,40.39996,42.93981,2,41,35.99,42,56,23.3
500381,-545.66,-594.14,99.999,9.999,9.999,17.189,0.028,0,16.614,0.018,0,16.116,0.021,0,0,2,2,2,40.9028,43.07176,2,43,36.67,43,4,18.3
503987,2563.51,2613.96,99.999,9.999,9.999,17.19,0.023,0,16.877,0.019,0,16.508,0.022,0,0,3,3,3,40.10313,42.46451,2,40,24.75,42,27,52.2
500995,1526.72,-184.87,18.012,0.022,0,17.194,0.021,0,16.666,0.019,0,16.175,0.021,0,2,3,3,3,40.8125,42.67797,2,43,15,42,40,40.7
503343,1408.89,2186.46,18.091,0.024,0,17.195,0.023,0,16.682,0.019,0,16.209,0.021,0,3,3,3,3,40.20189,42.68559,2,40,48.45,42,41,8.1
500791,470.38,-328.92,17.771,0.021,0,17.195,0.03,0,16.907,0.019,0,16.527,0.02,0,3,2,3,3,40.84173,42.87836,2,43,22.02,42,52,42.1
501037,348.47,-155.28,17.972,0.022,0,17.195,0.025,0,16.733,0.018,0,16.294,0.019,0,3,2,3,3,40.79603,42.90044,2,43,11.05,42,54,1.6
5804,891.84,939.93,17.815,0.011,0.013,17.197,0.01,0.009,16.826,0.01,0.012,16.463,0.009,0.007,12,19,12,20,40.51804,42.79138,2,42,4.33,42,47,29
501700,2590.85,547.41,17.7,0.021,0,17.198,0.02,0,16.907,0.022,0,16.566,0.022,0,2,3,3,3,40.63279,42.47274,2,42,31.87,42,28,21.9
504063,728.86,2664.67,18.169,0.023,0,17.2,0.019,0,16.617,0.019,0,16.059,0.018,0,2,3,3,3,40.07236,42.81071,2,40,17.37,42,48,38.5
504160,2025.69,2735.73,99.999,9.999,9.999,17.2,0.024,0,16.669,0.019,0,16.153,0.021,0,0,3,3,3,40.06672,42.56523,2,40,16.01,42,33,54.8
501643,2855.3,488.72,17.74,0.022,0,17.201,0.02,0,16.887,0.02,0,16.55,0.023,0,2,2,3,3,40.64993,42.42312,2,42,35.98,42,25,23.2
504195,2477.89,2759.12,99.999,9.999,9.999,17.204,0.021,0,16.791,0.018,0,16.337,0.02,0,0,3,3,3,40.06512,42.47965,2,40,15.63,42,28,46.7
504180,1112.87,2745.51,17.792,0.018,0.021,17.205,0.022,0,16.846,0.016,0.019,16.476,0.016,0.018,3,3,4,4,40.0553,42.73759,2,40,13.27,42,44,15.3
500737,294.92,-360.88,18.121,0.024,0,17.207,0.026,0,16.651,0.018,0,16.114,0.018,0,2,2,3,3,40.84868,42.91168,2,43,23.68,42,54,42.1
503929,-9.96,2570.76,18.081,0.022,0,17.209,0.019,0,16.677,0.018,0,16.203,0.019,0,3,3,3,3,40.08938,42.95094,2,40,21.45,42,57,3.4
500279,2474.57,-665.52,17.9,0.022,0,17.209,0.021,0,16.8,0.02,0,16.397,0.021,0,2,3,3,3,40.94278,42.50144,2,43,46.27,42,30,5.2
9334,672.28,1565.08,17.948,0.013,0.018,17.211,0.011,0.007,16.79,0.011,0.005,16.379,0.011,0.004,8,18,10,17,40.3551,42.82891,2,41,25.22,42,49,44.1
503577,2137.32,2347,18.704,0.026,0,17.213,0.023,0,16.308,0.019,0,15.404,0.029,0,2,3,3,2,40.1675,42.54688,2,40,40.2,42,32,48.8
502561,84.65,1412.87,18.128,0.021,0,17.214,0.02,0,16.684,0.018,0,16.175,0.019,0,2,3,3,3,40.38916,42.94091,2,41,33.4,42,56,27.3
1256,1987.66,205.44,18.1,0.025,0,17.217,0.011,0.013,16.702,0.018,0,16.211,0.012,0.005,2,11,3,11,40.71574,42.58869,2,42,51.78,42,35,19.3
4274,727.74,701.56,18.124,0.013,0.011,17.22,0.011,0,16.719,0.011,0.01,16.234,0.01,0.004,9,16,10,17,40.57808,42.82384,2,42,18.74,42,49,25.8
500174,-368.81,-736.4,99.999,9.999,9.999,17.221,0.028,0,16.712,0.018,0,16.227,0.018,0,0,2,2,3,40.94087,43.03909,2,43,45.81,43,2,20.7
500925,-78.19,-235.24,17.812,0.021,0,17.222,0.023,0,16.889,0.019,0,16.492,0.02,0,3,2,3,3,40.81346,42.9815,2,43,15.23,42,58,53.4
1595,845.84,260.42,17.959,0.013,0.005,17.223,0.011,0,16.783,0.011,0.008,16.354,0.01,0.007,9,17,10,17,40.69269,42.80412,2,42,46.25,42,48,14.8
500723,937.13,-369.35,17.935,0.02,0,17.229,0.032,0,16.827,0.018,0,16.418,0.02,0,3,1,3,3,40.8556,42.79038,2,43,25.34,42,47,25.4
502248,-623.72,1130.96,17.809,0.015,0.013,17.232,0.016,0.016,16.917,0.016,0.036,16.533,0.014,0.04,6,5,6,6,40.45585,43.07653,2,41,49.4,43,4,35.5
503520,359.89,2316.75,17.941,0.023,0,17.232,0.022,0,16.782,0.019,0,16.352,0.022,0,2,3,3,3,40.15847,42.88286,2,40,38.03,42,52,58.3
1436,302.02,234.87,18.419,0.014,0.02,17.233,0.012,0.009,16.52,0.011,0.003,15.889,0.011,0,9,14,10,12,40.695,42.90702,2,42,46.8,42,54,25.3
500457,-463.15,-542.83,99.999,9.999,9.999,17.234,0.066,0,16.106,0.017,0,15.095,0.025,0,0,1,2,2,40.89013,43.0559,2,43,33.63,43,3,21.2
503975,271.6,2602.18,18.185,0.025,0,17.234,0.019,0,16.666,0.02,0,16.184,0.024,0,2,3,3,2,40.08401,42.89753,2,40,20.16,42,53,51.1
502011,-616.87,918.79,18.065,0.015,0.026,17.235,0.018,0.038,16.766,0.016,0.008,16.329,0.014,0.01,4,4,5,6,40.5108,43.07656,2,42,2.59,43,4,35.6
502938,2725.04,1794.8,17.807,0.023,0,17.237,0.021,0,16.899,0.019,0,16.492,0.022,0,2,3,3,3,40.31441,42.43959,2,41,15.46,42,26,22.5
501483,-31.09,277.84,17.836,0.02,0,17.238,0.029,0,16.992,0.018,0,16.605,0.02,0,2,2,3,3,40.68128,42.96971,2,42,43.51,42,58,11
500370,-547.53,-601.87,99.999,9.999,9.999,17.239,0.026,0,16.599,0.019,0,16.02,0.019,0,0,2,2,3,40.90479,43.07215,2,43,37.15,43,4,19.8
501334,2466.86,115.72,17.946,0.022,0,17.239,0.02,0,16.854,0.021,0,16.426,0.022,0,2,3,3,3,40.74245,42.49866,2,42,58.19,42,29,55.2
500875,1602.27,-278.68,17.71,0.019,0,17.24,0.019,0,16.958,0.019,0,16.64,0.022,0,2,3,3,3,40.83718,42.66421,2,43,20.92,42,39,51.1
500731,-177.04,-365.89,99.999,9.999,9.999,17.243,0.03,0,16.821,0.019,0,16.412,0.019,0,0,2,3,3,40.84648,43.00089,2,43,23.16,43,0,3.2
857,885.29,138.21,17.901,0.012,0.011,17.245,0.011,0.006,16.835,0.011,0.004,16.447,0.01,0.005,10,17,10,17,40.72448,42.79736,2,42,53.87,42,47,50.5
503616,2822.72,2369.22,99.999,9.999,9.999,17.247,0.024,0,16.96,0.026,0,16.61,0.028,0,0,3,2,3,40.16826,42.41726,2,40,40.38,42,25,2.1
501520,-398.93,317.53,17.885,0.02,0,17.247,0.023,0,16.906,0.018,0,16.493,0.019,0,2,2,3,3,40.6681,43.03898,2,42,40.35,43,2,20.3
6093,1656.25,993.29,17.826,0.011,0.004,17.249,0.009,0.006,16.876,0.01,0.005,16.505,0.01,0.004,12,21,13,20,40.51073,42.64663,2,42,2.57,42,38,47.9
502310,2164.11,1180.19,18.413,0.019,0.012,17.255,0.015,0.004,16.546,0.013,0.002,15.911,0.014,0.01,4,6,6,6,40.46704,42.54952,2,41,52.09,42,32,58.3
503148,1984.91,2054.49,18.793,0.039,0,17.255,0.022,0,16.322,0.018,0,15.404,0.021,0,2,3,3,3,40.24113,42.57768,2,40,57.87,42,34,39.6
11777,1158.69,2022.4,17.904,0.013,0.007,17.256,0.011,0.009,16.865,0.011,0.007,16.466,0.011,0,10,18,10,17,40.24176,42.73398,2,40,58.02,42,44,2.3
503651,17.96,2392.31,18.018,0.022,0,17.256,0.028,0,16.834,0.018,0,16.415,0.019,0,2,2,3,3,40.13571,42.94692,2,40,32.57,42,56,48.9
503453,750.3,2261.97,18.193,0.024,0,17.26,0.029,0,16.701,0.018,0,16.215,0.019,0,2,2,3,3,40.17628,42.80949,2,40,42.31,42,48,34.2
503664,2728.77,2398.58,99.999,9.999,9.999,17.262,0.022,0,16.92,0.019,0,16.502,0.021,0,0,3,3,3,40.15986,42.4348,2,40,38.37,42,26,5.3
8401,1600.42,1400.53,18.166,0.015,0.005,17.262,0.011,0.007,16.75,0.011,0.004,16.283,0.011,0,8,18,10,17,40.40561,42.65462,2,41,37.35,42,39,16.6
10819,642.02,1839.28,18.311,0.014,0.013,17.263,0.01,0.011,16.631,0.011,0.012,16.047,0.01,0.01,9,18,9,17,40.28418,42.83281,2,41,8.2,42,49,58.1
7513,1260.74,1236.06,18.538,0.016,0.032,17.263,0.011,0.007,16.469,0.012,0.002,15.799,0.01,0,9,18,9,17,40.44496,42.71984,2,41,46.79,42,43,11.4
500524,607.96,-511.39,18.73,0.03,0,17.264,0.03,0,16.345,0.018,0,15.517,0.018,0,2,2,3,3,40.88979,42.85334,2,43,33.55,42,51,12
4299,1502.27,705.44,18.563,0.017,0.003,17.264,0.011,0.006,16.458,0.011,0.001,15.792,0.011,0.001,9,17,10,17,40.58343,42.67747,2,42,20.02,42,40,38.9
1021,1847.78,165.91,18.002,0.013,0.018,17.265,0.011,0.006,16.846,0.012,0.006,16.441,0.011,0.002,9,18,9,16,40.72481,42.61535,2,42,53.95,42,36,55.2
