ID Number,X Position,Y Position,B,Sigma 1 B,Sigma 2 B,V,Sigma 1 V,Sigma 2 V,R,Sigma 1 R,Sigma 2 R,I,Sigma 1 I,Sigma 2 I,nB,nV,nR,nI,RA,Declination ,,,,,,
502955,1472.49,1813.63,11.055,0.018,0,10.843,0.029,0,10.739,0.034,0,10.608,0.029,0,2,1,1,1,40.29831,42.6761,2,41,11.59,42,40,33.9
502425,-255.46,1301.2,11.812,0.02,0,10.854,0.025,0,10.334,0.028,0,9.802,0.031,0,2,1,2,1,40.41502,43.00588,2,41,39.61,43,0,21.2
503629,656.8,2379.02,11.417,0.025,0,10.902,0.023,0,10.58,0.031,0,10.264,0.03,0,1,1,1,1,40.14524,42.82634,2,40,34.86,42,49,34.8
500268,2846.18,-668.72,99.999,9.999,9.999,10.922,0.025,0,10.596,0.039,0,10.297,0.027,0,0,1,1,1,40.94622,42.43124,2,43,47.09,42,25,52.5
501324,771.96,97.12,11.055,0.021,0,10.935,0.023,0,10.851,0.021,0,10.748,0.01,0.009,1,1,2,12,40.73418,42.81901,2,42,56.2,42,49,8.4
503034,1519.31,1899.97,11.189,0.026,0,10.948,0.029,0,10.813,0.033,0,10.652,0.032,0,1,1,1,1,40.27655,42.66668,2,41,6.37,42,40,0
501715,1907.69,562.8,11.933,0.019,0,10.952,0.025,0,99.999,9.999,9.999,9.933,0.024,0,2,1,0,2,40.62336,42.60172,2,42,29.61,42,36,6.2
501803,1909.47,674.59,11.877,0.027,0,10.956,0.025,0,10.424,0.034,0,9.926,0.027,0,1,1,1,1,40.59467,42.60072,2,42,22.72,42,36,2.6
500921,76.19,-237.49,11.223,0.021,0,10.988,0.022,0,10.858,0.03,0,10.734,0.031,0,1,1,1,1,40.8152,42.95234,2,43,15.65,42,57,8.4
502810,-138.78,1662.69,12.476,0.019,0,11.091,0.026,0,10.345,0.036,0,9.656,0.032,0,2,1,1,1,40.32266,42.98149,2,41,17.44,42,58,53.4
501936,1795.1,828.17,11.456,0.027,0,11.114,0.028,0,10.86,0.03,0,10.662,0.022,0,1,1,1,2,40.5543,42.62141,2,42,13.03,42,37,17.1
503519,484.03,2316.17,12.297,0.018,0,11.133,0.027,0,10.491,0.036,0,9.931,0.029,0,2,1,1,1,40.1598,42.85941,2,40,38.35,42,51,33.9
502237,1510.69,1120.13,12.15,0.012,0.004,11.137,0.019,0.011,10.574,0.021,0.008,10.045,0.02,0.018,4,2,2,2,40.4769,42.67335,2,41,54.46,42,40,24
