  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   1   0.157513        2     1    0.30744         1       2706.04         42.4443  40.3571    25.71       41        2     39.4       26       42  11.771   9.182        0.037    0.90856            0.029        0.035   1.05849       1.216   9.86   10.555        0.018   502775        0        7.8849             0            0       2.19451         0           1627.38
   1   0.166028        1     1    0.314507        1       2641.44         42.4645  40.6923    46.14       42        2     52.3       27       42  10.796  10.44         0.031   -0.113507           0.025        0.025   0.0349725     0.201  10.529  10.595        0.027   501518        0        0.214476           0            0       2.23451         0            316.83
   0   0.168154        1     1    0.316259        1       2093.28         42.5605  40.3697    28.72       41        2     37.8       33       42  10.941  99.999        0.036    0.0197414          0.029        9.999   0.167846      0.336  10.451  10.605        0.025   502707        0        1.1605             9.999        0       2.24451         0           1557.31
   1   0.169004        1     1    0.316958        1       1502.26         42.6801  40.6994    47.84       42        2     48.4       40       42  10.814  10.433        0.033   -0.111958           0.025        0.026   0.0359955     0.205  10.519  10.609        0.028   501457        0        0.221283           0            0       2.24851         0            254.54
   2   0.172191        2     2    0.319571        2        933.22         42.7906  40.8295    19.07       43        2     26         47       42  11.128   9.984        0.02     0.184429           0.02         0.02    0.331809      0.504  10.309  10.624        0.019   500889        0        2.52665            0            0       2.26351         0           -267.92
   1   0.179825        1     2    0.32579         1       -126.89         42.9779  40.2705     4.92       41        2     40.4       58       42  10.822  10.465        0.024   -0.16379            0.027        0.034  -0.0178254     0.162  10.575  10.66         0.028   502997        0       -0.11395            0            0       2.29951         0           1865
   1   0.181942        1     1    0.327504        1        -49.26         42.972   40.6311    31.46       42        2     19.2       58       42  10.868  10.455        0.031   -0.129504           0.022        0.026   0.0160585     0.198  10.566  10.67         0.021   501627        0        0.0959133          0            0       2.30951         0            471.57
   1   0.183421        2     1    0.328701        1       2658.55         42.4499  40.2287    54.9        40        2     59.7       26       42  11.991   9.279        0.033    0.985299           0.029        0.032   1.13058       1.314   9.963  10.677        0.017   503236        0        8.62684            0            0       2.31651         0           2127.03
   2   0.186589        1     2    0.331256        2        626.24         42.8484  40.8209    17.03       43        2     54.4       50       42  10.877  10.461        0.02    -0.146256           0.021        0.02   -0.00158873    0.185  10.581  10.692        0.022   500914        0       -0.0146969          0            0       2.33151         0           -243.79
   2   0.199821        2     2    0.34186         1       1027.98         42.7658  40.5268     6.42       42        2     57         45       42  11.023  10.437        0.022   -0.0738597          0.022        0.02    0.0681789     0.268  10.611  10.755        0.018   502005        0.012    0.449884           0.002        0.014   2.39451         0            910.46
   1   0.204202        3     3    0.34535         2       2709.62         42.4463  40.4669    52.05       41        2     46.8       26       42  10.995  10.522        0.02    -0.12635            0.019        0.027   0.0147976     0.219  10.673  10.776        0.015   502333        0.024    0.0895547          0            0.003   2.41551         0.018       1198.88
   1   0.218063        2     1    0.356346        1       1472.49         42.6761  40.2983    11.59       41        2     33.9       40       42  11.055  10.608        0.034   -0.144346           0.029        0.029  -0.00606272    0.212  10.739  10.843        0.018   502955        0       -0.0446835          0            0       2.48251         0           1813.63
   1   0.220319        2     2    0.358133        1       -255.46         43.0059  40.415     39.61       41        2     21.2        0       43  11.812   9.802        0.028    0.599867           0.025        0.031   0.737681      0.958  10.334  10.854        0.02    502425        0        5.28762            0            0       2.49351         0           1301.2
   1   0.230098        1     1    0.365872        1        656.8          42.8263  40.1452    34.86       40        2     34.8       49       42  11.417  10.264        0.031    0.149128           0.023        0.03    0.284902      0.515  10.58   10.902        0.025   503629        0        2.24593            0            0       2.54151         0           2379.02
   1   0.234138        0     1    0.369071        1       2846.18         42.4312  40.9462    47.09       43        2     52.5       25       42  99.999  10.297        0.039   88.7079             0.025        0.027  88.8429       89.077  10.596  10.922        9.999   500268        9.999    1.40964e+23        0            0       2.56151         0           -668.72
  12   0.236752        1     2    0.371143        1        771.96         42.819   40.7342    56.2        42        2      8.4       49       42  11.055  10.748        0.021   -0.251143           0.023        0.01   -0.116752      0.12   10.851  10.935        0.021   501324        0       -0.737112           0.009        0       2.57451         0             97.12
