  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   3   1.33218         3     3    1.42155         3       2362.21         42.5087  40.3329    19.9        41        2     31.3       30       42  17.829  16.576        0.02    -0.898554           0.021        0.025  -0.809179      0.523  16.946  17.306        0.023   502862        0       -6.19508            0            0       8.94551         0           1709.93
   3   1.33218         2     3    1.42155         3        790.49         42.8011  40.1484    35.61       40        2      4.1       48       42  18.334  16.199        0.018   -0.393554           0.02         0.019  -0.304179      1.028  16.699  17.306        0.029   503620        0       -2.71654            0            0       8.94551         0           2371.8
  20   1.33218        11    12    1.42155        20        340.45         42.8953  40.5035     0.85       42        2     43.2       53       42  18.178  16.33         0.009   -0.549554           0.01         0.009  -0.460179      0.872  16.811  17.306        0.011     6002        0.007   -3.90151            0.005        0.003   8.94551         0.004        978.14
  17   1.33245         9    10    1.42176        18       1792.99         42.6156  40.3043    13.04       41        2     56.3       36       42  17.873  16.613        0.012   -0.856758           0.011        0.011  -0.767451      0.565  16.963  17.308        0.012    10587        0.017   -5.87462            0.004        0.006   8.94751         0.004       1801.46
  17   1.33259         9    10    1.42186        17       1849.7          42.6043  40.2824     7.78       41        2     15.6       36       42  17.979  16.553        0.012   -0.751861           0.011        0.011  -0.662587      0.67   16.913  17.309        0.013    11068        0.012   -5.15593            0.002        0.009   8.94851         0.001       1888.8
   5   1.33259         4     4    1.42186         5       -632.72         43.0795  40.5093     2.23       42        2     46.3        4       43  18.389  16.133        0.017   -0.341861           0.019        0.015  -0.252587      1.08   16.659  17.309        0.019   502018        0.045   -2.27755            0.054        0.01    8.94851         0.021        924.09
   3   1.33354         3     3    1.42258         2       -237.1          43.0107  40.7749     5.98       43        2     38.6        0       43  18.604  15.844        0.018   -0.134577           0.028        0.018  -0.0455363     1.288  16.516  17.316        0.03    501126        0       -0.438909           0            0       8.95551         0            -90.82
   3   1.33394         2     3    1.42288         2       1506.15         42.6836  40.8972    35.32       43        2      1.1       41       42  18.027  16.482        0.02    -0.714883           0.021        0.021  -0.625943      0.708  16.912  17.319        0.024   500513        0       -4.93397            0            0       8.95851         0           -514.71
   3   1.33408         3     3    1.42299         3       2748.85         42.4362  40.3584    26.02       41        2     10.4       26       42  17.873  16.58         0.019   -0.869986           0.023        0.022  -0.781078      0.553  16.994  17.32         0.025   502770        0       -5.98088            0            0       8.95951         0           1623.79
   6   1.33435         4     6    1.42319         5       -187.56         42.9941  40.4588    50.11       41        2     38.8       59       42  18.165  16.406        0.013   -0.58019            0.015        0.013  -0.491349      0.843  16.873  17.322        0.015   502256        0.04    -4.11364            0.001        0.011   8.96151         0.004       1134.06
  16   1.33448         9     9    1.42329        18       1185.15         42.7328  40.3907    33.78       41        2     58.1       43       42  18.607  15.891        0.012   -0.139292           0.011        0.011  -0.0504841     1.284  16.545  17.323        0.015     8673        0.013   -0.48574            0.005        0.011   8.96251         0.003       1444.27
  20   1.33475        11    13    1.4235         21       1002.16         42.7655  40.3141    15.4        41        2     55.7       45       42  18.153  16.329        0.009   -0.595496           0.01         0.009  -0.506755      0.828  16.824  17.325        0.011    10264        0.012   -4.21328            0.005        0.003   8.96451         0.004       1735.55
   3   1.33489         2     3    1.4236          3       2144.24         42.5466  40.2038    48.92       40        2     47.6       32       42  18.318  16.221        0.02    -0.431598           0.024        0.023  -0.34289       0.992  16.738  17.326        0.027   503372        0       -3.03903            0            0       8.96551         0           2205.68
   3   1.33502         3     3    1.4237          2        -51.14         42.9727  40.6452    34.86       42        2     21.7       58       42  18.007  16.505        0.018   -0.7437             0.029        0.02   -0.655025      0.68   16.916  17.327        0.021   501587        0       -5.117              0            0       8.96651         0            416.76
   3   1.33529         3     3    1.4239          3       -243.02         42.9943  40.0641    15.38       40        2     39.6       59       42  17.914  16.545        0.019   -0.838904           0.02         0.021  -0.750295      0.585  16.939  17.329        0.022   504054        0       -5.75572            0            0       8.96851         0           2659.97
   3   1.33543         0     3    1.42401         2       -438.41         43.0494  40.8011    12.25       43        2     57.7        2       43  99.999  16.151        0.018   81.245              0.026        0.018  81.3336       82.669  16.716  17.33         9.999   500974        9.999    6.15594e+22        0            0       8.96951         0           -197.76
  17   1.33556         9    10    1.42411        18       1169.09         42.7346  40.3404    21.69       41        2      4.4       44       42  18.152  16.416        0.011   -0.603107           0.011        0.011  -0.514565      0.821  16.871  17.331        0.013     9748        0.008   -4.26527            0.002        0.004   8.97051         0.006       1639.43
   3   1.33556         2     3    1.42411         3       2625.06         42.4645  40.5572    13.72       42        2     52.2       27       42  17.827  16.665        0.02    -0.928107           0.02         0.025  -0.839565      0.496  17.016  17.331        0.021   501946        0       -6.44536            0            0       8.97051         0            843.69
   2   1.3357          2     3    1.42421         3       -186.86         42.9915  40.3607    26.56       41        2     29.6       59       42  18.615  15.809        0.019   -0.141209           0.02         0.022  -0.0526999     1.283  16.519  17.332        0.027   502666        0       -0.507047           0            0       8.97151         0           1513.92
   3   1.33583         2     3    1.42431         2       1624.45         42.6628  40.9732    53.56       43        2     46.1       39       42  17.957  16.561        0.025   -0.800311           0.022        0.021  -0.711835      0.624  16.972  17.333        0.022   500069        0       -5.48836            0            0       8.97251         0           -807.18
   3   1.33583         2     2    1.42431         3       1665.87         42.6377  40.2274    54.59       40        2     15.6       38       42  17.887  16.607        0.019   -0.870311           0.022        0.022  -0.781835      0.554  16.981  17.333        0.025   503204        0       -5.99055            0            0       8.97251         0           2096.31
   3   1.33583         0     3    1.42431         3       2669.71         42.4422  40.0229     5.49       40        2     31.8       26       42  99.999  16.707        0.019   81.2417             0.029        0.025  81.3302       82.666  17.041  17.333        9.999   504439        9.999    6.15346e+22        0            0       8.97251         0           2931.32
  17   1.33597        10    10    1.42441        17        710.17         42.8278  40.6047    25.13       42        2     40         49       42  17.981  16.55         0.011   -0.777413           0.011        0.011  -0.68897       0.647  16.936  17.334        0.013     3669        0.002   -5.33683            0.005        0.005   8.97351         0            597.69
  17   1.33597         9    10    1.42441        18        910.14         42.7839  40.3564    25.53       41        2      2.2       47       42  18.115  16.458        0.011   -0.643413           0.011        0.01   -0.55497       0.781  16.872  17.334        0.013     9351        0.009   -4.51486            0.004        0.009   8.97351         0.004       1568.34
   3   1.33597         2     3    1.42441         2       2487.53         42.4944  40.7253    54.08       42        2     39.7       29       42  18.406  16.069        0.02    -0.352413           0.022        0.022  -0.26397       1.072  16.676  17.334        0.022   501397        0       -2.37977            0            0       8.97351         0            183.15
   3   1.3361          0     3    1.42451         2        -87.76         42.9846  40.8733    29.59       43        2      4.4       59       42  99.999  16.403        0.018   81.2395             0.037        0.018  81.3279       82.664  16.855  17.335        9.999   500588        9.999    6.1518e+22         0            0       8.97451         0           -467.1
   3   1.3361          2     3    1.42451         3       1712.95         42.6449  40.9155    39.71       43        2     41.7       38       42  18.054  16.449        0.018   -0.705514           0.02         0.021  -0.617104      0.719  16.916  17.335        0.022   500404        0       -4.88857            0            0       8.97451         0           -580.21
   3   1.33624         2     3    1.42462         3       2206.86         42.5402  40.4152    39.64       41        2     24.6       32       42  18.319  16.224        0.019   -0.441616           0.024        0.021  -0.353239      0.983  16.756  17.336        0.028   502528        0       -3.12448            0            0       8.97551         0           1383.78
  19   1.33637        12    13    1.42472        17       1046.49         42.7656  40.6656    39.73       42        2     56         45       42  18.089  16.483        0.01    -0.672718           0.011        0.009  -0.584374      0.752  16.911  17.337        0.011     2303        0.004   -4.6931             0.003        0.006   8.97651         0.013        371.96
  20   1.33651        11    13    1.42482        21       1968.3          42.5868  40.4789    54.93       41        2     12.6       35       42  18.366  16.196        0.01    -0.39682            0.009        0.009  -0.308509      1.028  16.743  17.338        0.013     6894        0.02    -2.75904            0.003        0.007   8.97751         0.003       1127.56
   3   1.33651         0     3    1.42482         3       2741.84         42.4319  40.1431    34.33       40        2     54.7       25       42  99.999  16.552        0.019   81.2362             0.022        0.022  81.3245       82.661  16.964  17.338        9.999   503753        9.999    6.14933e+22        0            0       8.97751         0           2464.72
   3   1.33664         2     3    1.42492         3       2142.75         42.5497  40.3115    14.75       41        2     58.8       32       42  18.091  16.459        0.018   -0.672921           0.023        0.024  -0.584643      0.752  16.912  17.339        0.025   502931        0       -4.69576            0            0       8.97851         0           1785.96
   3   1.33678         7     8    1.42502        11        179.5          42.9243  40.4418    46.02       41        2     27.4       55       42  18.501  15.979        0.011   -0.264023           0.011        0.018  -0.175778      1.161  16.621  17.34         0.016   500061        0.017   -1.61125            0            0.004   8.97951         0.004       1212.27
   3   1.33705         3     3    1.42523         2       1200.04         42.724   40.1627    39.05       40        2     26.6       43       42  17.95   16.593        0.019   -0.817226           0.023        0.022  -0.729047      0.608  16.969  17.342        0.024   503545        0       -5.61004            0            0       8.98151         0           2331.26
   3   1.33718         2     3    1.42533         2         -9.05         42.9659  40.6953    46.87       42        2     57.1       57       42  18.062  16.569        0.018   -0.706328           0.022        0.018  -0.618181      0.719  16.983  17.343        0.024   501436        0       -4.89919            0            0       8.98251         0            224.27
   3   1.33745         0     3    1.42553         3       2601.27         42.4576  40.1129    27.1        40        2     27.5       27       42  99.999  16.584        0.019   81.2285             0.022        0.022  81.3165       82.654  16.988  17.345        9.999   503936        9.999    6.14355e+22        0            0       8.98451         0           2577.18
   5   1.33772         4     5    1.42573         3       2791.28         42.4313  40.4828    55.87       41        2     52.6       25       42  18.019  16.599        0.019   -0.753734           0.024        0.022  -0.665719      0.672  16.911  17.347        0.017   502264        0.013   -5.19376            0.079        0.001   8.98651         0.015       1139.4
   3   1.33772         2     3    1.42573         2       2513.44         42.4881  40.666     39.84       42        2     17.3       29       42  17.931  16.564        0.02    -0.841734           0.02         0.022  -0.753719      0.584  16.973  17.347        0.022   501585        0       -5.78685            0            0       8.98651         0            415.37
   3   1.33772         2     3    1.42573         3       1616.89         42.6469  40.225     54          40        2     48.7       38       42  18.788  15.532        0.018    0.0152665          0.022        0.02    0.103281      1.441  16.424  17.347        0.028   503212        0        1.17084            0            0       8.98651         0           2104.05
   2   1.33826         1     2    1.42614         2       -743.17         43.0995  40.4703    52.87       41        2     58.1        5       43  18.287  16.238        0.029   -0.490139           0.026        0.027  -0.402256      0.936  16.781  17.351        0.045   502184        0       -3.50746            0            0       8.99051         0           1071.18
   3   1.33826         2     3    1.42614         3       1591.51         42.6497  40.1512    36.28       40        2     58.9       38       42  17.978  16.495        0.024   -0.799139           0.021        0.024  -0.711256      0.627  16.927  17.351        0.024   503647        0       -5.49201            0            0       8.99051         0           2390.53
   3   1.33839         3     3    1.42624         2        252.83         42.9194  40.8396    21.51       43        2     10         55       42  17.931  16.54         0.018   -0.847241           0.026        0.02   -0.75939       0.579  16.935  17.352        0.022   500800        0       -5.8298             0            0       8.99151         0           -326.94
  16   1.33852         9    10    1.42634        17        863.45         42.7989  40.6103    26.48       42        2     56.1       47       42  18.469  16.165        0.011   -0.310342           0.011        0.011  -0.222524      1.116  16.708  17.353        0.014     3566        0.003   -2.02295            0.001        0.001   8.99251         0.007        580.64
  17   1.33852         8    10    1.42634        18        759.66         42.8121  40.3429    22.29       41        2     43.4       48       42  18.209  16.411        0.011   -0.570342           0.011        0.011  -0.482524      0.856  16.871  17.353        0.014     9626        0.011   -4.07027            0.002        0.014   8.99251         0.002       1615.54
   3   1.33879         2     3    1.42654         3       1266.73         42.7273  40.8186    16.46       43        2     38.2       43       42  18.275  16.34         0.019   -0.506544           0.019        0.022  -0.418792      0.92   16.834  17.355        0.025   500945        0       -3.63067            0            0       8.99451         0           -216.04
   3   1.33879         2     3    1.42654         2       -429.94         43.0437  40.6168    28.02       42        2     37.2        2       43  18.81   15.058        0.018    0.0284555          0.025        0.017   0.116208      1.455  16.282  17.355        0.027   501672        0        1.33542            0            0       8.99451         0            515.12
   3   1.33893         2     3    1.42665         3       2671.84         42.4554  40.5451    10.84       42        2     19.3       27       42  18.091  16.5          0.02    -0.691646           0.028        0.021  -0.603926      0.735  16.918  17.356        0.023   501985        0       -4.82019            0            0       8.99551         0            892.07
   3   1.33906         2     3    1.42675         3        143.58         42.9232  40.1358    32.58       40        2     23.4       55       42  17.906  16.644        0.019   -0.877747           0.021        0.022  -0.79006       0.549  17.013  17.357        0.023   503661        0       -6.06049            0            0       8.99651         0           2396.81
   3   1.33919         2     3    1.42685         3       2178.32         42.5567  40.9054    37.29       43        2     24.1       33       42  17.914  16.599        0.021   -0.870848           0.02         0.019  -0.783194      0.556  16.986  17.358        0.022   500482        0       -6.00861            0            0       8.99751         0           -527.91
   3   1.33933         3     2    1.42695         3        747.79         42.8107  40.2053    49.27       40        2     38.7       48       42  17.948  16.625        0.023   -0.837949           0.022        0.022  -0.750328      0.589  17      17.359        0.021   503278        0       -5.76677            0            0       8.99851         0           2149.2
   3   1.33973         0     3    1.42725         2       -646.6          43.0871  40.7271    54.49       42        2     13.7        5       43  99.999  16.563        0.018   81.2097             0.031        0.019  81.2973       82.637  16.977  17.362        9.999   501311        9.999    6.12953e+22        0            0       9.00151         0             82.08
   3   1.33986         3     3    1.42735         2       -526.99         43.062   40.6169    28.07       42        2     43.3        3       43  18.263  16.366        0.018   -0.527354           0.026        0.018  -0.439863      0.9    16.834  17.363        0.025   501671        0       -3.78446            0            0       9.00251         0            511.38
  16   1.33986        10     9    1.42735        17        685.16         42.8319  40.5805    19.32       42        2     55         49       42  18.034  16.552        0.011   -0.756354           0.011        0.011  -0.668863      0.671  16.956  17.363        0.013     4221        0.013   -5.22132            0.001        0.009   9.00251         0.002        690.87
   3   1.34            3     3    1.42746         3       -265.68         43.0011  40.1545    37.08       40        2      3.9        0       43  17.883  16.599        0.019   -0.908455           0.02         0.019  -0.820996      0.519  16.992  17.364        0.021   503511        0       -6.30385            0            0       9.00351         0           2309.08
   3   1.34            2     3    1.42746         3       1834.31         42.6038  40.1519    36.44       40        2     13.6       36       42  17.651  16.927        0.02    -1.14046            0.023        0.024  -1.053         0.287  17.181  17.364        0.024   503660        0       -8.18995            0            0       9.00351         0           2396.84
   3   1.3404          2     3    1.42776         3       2078.47         42.5616  40.3023    12.54       41        2     41.7       33       42  17.892  16.626        0.019   -0.902758           0.023        0.024  -0.815397      0.525  16.986  17.367        0.023   502964        0       -6.26028            0            0       9.00651         0           1819.52
   3   1.34053         2     3    1.42786         2       -300.02         43.021   40.6992    47.82       42        2     15.5        1       43  18.068  16.53         0.019   -0.727859           0.028        0.019  -0.64053       0.7    16.946  17.368        0.022   501411        0       -5.04785            0            0       9.00751         0            200.12
   3   1.34066         2     3    1.42796         2        140.16         42.9366  40.6509    36.21       42        2     11.9       56       42  18.117  16.551        0.018   -0.67996            0.025        0.018  -0.592664      0.748  16.971  17.369        0.025   501576        0       -4.75955            0            0       9.00851         0            400.8
  17   1.3408          9     9    1.42806        18       1307.24         42.706   40.2457    58.96       40        2     21.5       42       42  18.307  16.359        0.011   -0.491061           0.011        0.011  -0.403797      0.937  16.834  17.37         0.014    11715        0.003   -3.52523            0            0.008   9.00951         0           2012.5
  17   1.34106         9     9    1.42826        17        582.32         42.8515  40.5851    20.43       42        2      5.4       51       42  17.959  16.599        0.012   -0.841263           0.011        0.011  -0.754064      0.587  16.991  17.372        0.012     4100        0.012   -5.79841            0.008        0.004   9.01151         0            669.55
   2   1.3412          0     2    1.42836         2        -81.85         42.9848  40.9402    45.65       43        2      5.3       59       42  99.999  16.45         0.03    81.1976             0.031        0.032  81.2848       82.626  17.05   17.373        9.999   500190        9.999    6.12048e+22        0            0       9.01251         0           -725.95
   3   1.3412          0     3    1.42836         2       -481.49         43.0576  40.8039    12.94       43        2     27.2        3       43  99.999  16.569        0.018   81.1976             0.026        0.02   81.2848       82.626  16.979  17.373        9.999   500956        9.999    6.12048e+22        0            0       9.01251         0           -210.14
  12   1.34146         6     7    1.42857        13       1602.98         42.6624  40.7577     1.85       43        2     44.5       39       42  17.906  16.687        0.012   -0.897566           0.011        0.012  -0.810463      0.531  17.038  17.375        0.014      188        0.041   -6.22371            0.014        0.032   9.01451         0.017         30.52
  20   1.34146        12    13    1.42857        20        443.84         42.8747  40.4607    50.58       41        2     29         52       42  18.035  16.573        0.01    -0.768566           0.01         0.009  -0.681463      0.66   16.979  17.375        0.012     7004        0.012   -5.30721            0.014        0.014   9.01451         0.002       1147.57
   6   1.34146         4     6    1.42857         5       2067.75         42.5676  40.4599    50.38       41        2      3.3       34       42  18.669  15.818        0.013   -0.134566           0.015        0.015  -0.0474633     1.294  16.552  17.375        0.02    502340        0.054   -0.460602           0.035        0.033   9.01451         0.038       1204.68
   3   1.34173         0     3    1.42877         2       -283.6          43.022   40.8925    34.21       43        2     19.2        1       43  99.999  16.456        0.018   81.1932             0.027        0.019  81.2803       82.622  16.937  17.377        9.999   500450        9.999    6.11719e+22        0            0       9.01651         0           -547.15
   3   1.34186         2     3    1.42887         2       -602.81         43.0755  40.5809    19.42       42        2     32          4       43  18.934  15.333        0.017    0.127131           0.029        0.016   0.214137      1.556  16.371  17.378        0.032   501779        0        2.57117            0            0       9.01751         0            648.27
   3   1.34186         0     3    1.42887         3       2047.28         42.5612  40.0701    16.82       40        2     40.5       33       42  99.999  16.608        0.022   81.1921             0.023        0.022  81.2791       82.621  17.026  17.378        9.999   504145        9.999    6.11637e+22        0            0       9.01751         0           2723.39
   3   1.34213         2     3    1.42907         2       -275.07         43.0179  40.7723     5.34       43        2      4.3        1       43  17.947  16.631        0.018   -0.86207            0.031        0.02   -0.775128      0.567  17.024  17.38         0.021   501138        0       -5.95535            0            0       9.01951         0            -81.58
   2   1.34253         2     3    1.42937         3        526.23         42.8498  40.1008    24.19       40        2     59.4       50       42  18.231  16.448        0.019   -0.581373           0.019        0.025  -0.494527      0.848  16.897  17.383        0.024   503878        0       -4.16232            0            0       9.02251         0           2546.59
  17   1.34253         9    10    1.42937        17        606.88         42.8489  40.6732    41.57       42        2     55.9       50       42  18.03   16.603        0.011   -0.782373           0.012        0.011  -0.695527      0.647  16.985  17.383        0.013     2043        0.027   -5.4019             0.002        0.006   9.02251         0.002        328.74
  17   1.34279        10     9    1.42957        18        350.32         42.8887  40.3123    14.95       41        2     19.4       53       42  18.14   16.527        0.011   -0.674574           0.011        0.011  -0.587793      0.755  16.936  17.385        0.014    10191        0.01    -4.73888            0.009        0.019   9.02451         0.003       1719.92
   3   1.34306         2     3    1.42978         3       2382.81         42.5054  40.3548    25.14       41        2     19.3       30       42  18.523  16.115        0.019   -0.293775           0.022        0.022  -0.207058      1.136  16.705  17.387        0.025   502771        0       -1.89308            0            0       9.02651         0           1625.47
   3   1.34319         2     3    1.42988         3        889.81         42.782   40.1367    32.81       40        2     55.3       46       42  18.072  16.62         0.019   -0.745876           0.02         0.019  -0.659191      0.684  17.004  17.388        0.025   503696        0       -5.17308            0            0       9.02751         0           2420.85
   3   1.34332         2     3    1.42998         2        599.79         42.8553  40.9103    38.47       43        2     19.1       51       42  18.069  16.584        0.019   -0.749977           0.032        0.018  -0.663323      0.68   17.026  17.389        0.023   500386        0       -5.19933            0            0       9.02851         0           -591.04
   3   1.34332         0     3    1.42998         3       2135.65         42.5435  40.0323     7.76       40        2     36.5       32       42  99.999  16.028        0.018   81.18               0.021        0.021  81.2667       82.61   16.705  17.389        9.999   504375        9.999    6.10734e+22        0            0       9.02851         0           2874
   3   1.34346         2     3    1.43008         2       2694.74         42.4438  40.2558     1.4        41        2     37.7       26       42  18.029  16.55         0.019   -0.791077           0.027        0.022  -0.704456      0.639  17.009  17.39         0.027   503115        0       -5.46374            0            0       9.02951         0           2022.5
  17   1.34346        10    10    1.43008        18       1481.83         42.674   40.2856     8.55       41        2     26.4       40       42  17.847  16.768        0.012   -0.973077           0.011        0.011  -0.886456      0.457  17.081  17.39         0.012    10941        0.003   -6.84659            0.008        0.003   9.02951         0.001       1863.34
  17   1.34359        10     9    1.43018        17        855.48         42.8024  40.6982    47.57       42        2      8.7       48       42  17.964  16.658        0.011   -0.857178           0.011        0.011  -0.770588      0.573  17.029  17.391        0.013     1477        0.009   -5.92556            0.006        0.01    9.03051         0.004        239.24
  17   1.34385         9    10    1.43038        17        906.79         42.7816  40.2394    57.45       40        2     53.6       46       42  17.992  16.622        0.012   -0.831379           0.011        0.011  -0.744853      0.599  17.014  17.393        0.013    11781        0.015   -5.74079            0.006        0.013   9.03251         0.008       2022.72
   3   1.34399         2     3    1.43048         2        754.43         42.8245  40.8347    20.32       43        2     28.2       49       42  18.063  16.62         0.018   -0.76148            0.026        0.02   -0.674985      0.669  17.01   17.394        0.022   500853        0       -5.27513            0            0       9.03351         0           -293.33
   3   1.34399         2     3    1.43048         3        -91.44         42.9726  40.3269    18.45       41        2     21.5       58       42  18.916  15.531        0.019    0.0915202          0.02         0.018   0.178015      1.522  16.431  17.394        0.029   502793        0        2.14097            0            0       9.03351         0           1647.99
   3   1.34399         2     3    1.43048         3       2015.19         42.5726  40.2672     4.14       41        2     21.5       34       42  18.81   15.694        0.019   -0.0144798          0.024        0.021   0.0720147     1.416  16.506  17.394        0.035   503069        0        0.804667           0            0       9.03351         0           1953.75
   3   1.34399         2     3    1.43048         3       1820.96         42.606   40.1416    33.98       40        2     21.7       36       42  18.266  16.337        0.019   -0.55848            0.022        0.023  -0.471985      0.872  16.843  17.394        0.025   503716        0       -4.01838            0            0       9.03351         0           2436.28
   6   1.34412         4     6    1.43058         5       2416.94         42.5028  40.514      3.37       42        2     10.2       30       42  18.293  16.426        0.014   -0.53258            0.015        0.015  -0.446118      0.898  16.902  17.395        0.018   502110        0.02    -3.84102            0.004        0.027   9.03451         0.006       1005.24
   3   1.34425         2     3    1.43068         2        136.81         42.935   40.5511    12.26       42        2      5.9       56       42  18.491  16.287        0.018   -0.335681           0.029        0.019  -0.24925       1.095  16.816  17.396        0.024   501897        0       -2.26307            0            0       9.03551         0            787.31
  17   1.34425         9    10    1.43068        17        377.77         42.8906  40.6038    24.92       42        2     26.2       53       42  18.887  15.525        0.011    0.0603192          0.011        0.01    0.14675       1.491  16.437  17.396        0.018     3630        0.003    1.74202            0.003        0.002   9.03551         0.004        590.66
   3   1.34425         2     3    1.43068         2       1442.97         42.6956  40.8984    35.62       43        2     44.2       41       42  17.89   16.721        0.021   -0.936681           0.02         0.021  -0.85025       0.494  17.079  17.396        0.022   500501        0       -6.54801            0            0       9.03551         0           -521.47
   3   1.34438         2     3    1.43078         3       1391.94         42.6876  40.1553    37.27       40        2     15.2       41       42  18.206  16.451        0.018   -0.621781           0.024        0.022  -0.535382      0.809  16.896  17.397        0.025   503612        0       -4.42756            0            0       9.03651         0           2367.18
   3   1.34451         2     3    1.43088         2       1499.44         42.6841  40.86      26.41       43        2      2.9       41       42  18.877  15.428        0.018    0.0481181          0.02         0.019   0.134486      1.479  16.413  17.398        0.033   500719        0        1.5847             0            0       9.03751         0           -370.54
   4   1.34451         3     4    1.43088         4       1083.45         42.7426  40.0339     8.14       40        2     33.2       44       42  18.818  15.502        0.015   -0.0108819          0.016        0.016   0.0754857     1.42   16.437  17.398        0.026   504295        0.041    0.847082           0.014        0.005   9.03751         0.002       2827.57
  20   1.34465        12    13    1.43098        21       1964.1          42.5883  40.5049     1.18       42        2     17.8       35       42  17.969  16.664        0.01    -0.860982           0.009        0.01   -0.774646      0.57   17.045  17.399        0.011     6277        0.001   -5.95833            0.005        0.01    9.03851         0.002       1026.04
   2   1.34465         7     8    1.43098        11        181.71         42.9234  40.4237    41.68       41        2     24.3       55       42  18.248  16.498        0.012   -0.581982           0.011        0.023  -0.495646      0.849  16.929  17.399        0.015   500071        0.014   -4.17707            0            0.003   9.03851         0.002       1282.51
   3   1.34478         2     3    1.43108         3        664.02         42.8241  40.1146    27.5        40        2     26.9       49       42  18.08   16.631        0.02    -0.751083           0.021        0.022  -0.664779      0.68   16.987  17.4          0.022   503797        0       -5.21394            0            0       9.03951         0           2498.23
  16   1.34491         9    10    1.43118        18        302.94         42.8993  40.3783    30.78       41        2     57.6       53       42  18.085  16.573        0.011   -0.747183           0.011        0.011  -0.660911      0.684  16.99   17.401        0.013     8760        0.009   -5.19034            0.002        0.007   9.04051         0.004       1462.59
   3   1.34491         3     3    1.43118         3       -203.33         42.9849  39.995     58.81       39        2      5.6       59       42  18.069  16.598        0.019   -0.763183           0.019        0.019  -0.676911      0.668  17.008  17.401        0.023   504438        0       -5.29076            0            0       9.04051         0           2928.76
   3   1.34504         2     3    1.43128         3       2710.52         42.4535  40.7842     8.21       43        2     12.6       27       42  18.194  16.436        0.02    -0.639284           0.02         0.021  -0.553043      0.792  16.901  17.402        0.023   501191        0       -4.53845            0            0       9.04151         0            -39.96
   3   1.34517         2     3    1.43138         3       2059.9          42.5735  40.6495    35.88       42        2     24.7       34       42  18.409  16.44         0.021   -0.425384           0.027        0.026  -0.339175      1.006  16.874  17.403        0.026   501623        0       -3.02751            0            0       9.04251         0            465.75
   3   1.34531         3     3    1.43148         2        -69.32         42.9779  40.7254    54.09       42        2     40.5       58       42  18.137  16.541        0.018   -0.698485           0.031        0.02   -0.612306      0.733  16.989  17.404        0.021   501329        0       -4.89594            0            0       9.04351         0            105.95
   3   1.34557         2     3    1.43169         3       2234.41         42.5305  40.24      57.6        40        2     49.6       31       42  18.324  16.445        0.02    -0.513685           0.025        0.024  -0.42757       0.918  16.948  17.406        0.025   503160        0       -3.71293            0            0       9.04551         0           2067.89
   3   1.3457          2     3    1.43179         3        -44.72         42.9577  40.0962    23.08       40        2     27.7       57       42  18.306  16.418        0.024   -0.532786           0.022        0.019  -0.446702      0.899  16.876  17.407        0.029   503869        0       -3.84993            0            0       9.04651         0           2543.08
  13   1.3457          9    10    1.43179        14       1147.44         42.7358  40.2302    55.25       40        2      8.9       44       42  18.057  16.548        0.011   -0.781786           0.011        0.011  -0.695702      0.65   16.986  17.407        0.013   500117        0.02    -5.41424            0.011        0.02    9.04651         0.02        2066.9
   3   1.3457          0     3    1.43179         1       -475.83         43.0595  40.9513    48.3        43        2     34.3        3       43  99.999  16.597        0.021   81.1602             0.041        0.022  81.2463       82.592  17.005  17.407        9.999   500107        9.999    6.09258e+22        0            0       9.04651         0           -779.54
   3   1.34583         2     3    1.43189         2       -517.41         43.0584  40.5377     9.04       42        2     30.2        3       43  18.201  16.5          0.018   -0.638886           0.025        0.018  -0.552834      0.793  16.957  17.408        0.021   501930        0       -4.54033            0            0       9.04751         0            818.14
   3   1.34597         0     3    1.43199         2        215.51         42.9274  40.8827    31.85       43        2     38.7       55       42  99.999  15.274        0.018   81.158              0.027        0.017  81.244        82.59   16.395  17.409        9.999   500544        9.999    6.09094e+22        0            0       9.04851         0           -495.02
  13   1.34597         7     9    1.43199        15       1449.42         42.6788  40.2349    56.38       40        2     43.7       40       42  18.927  14.889        0.011    0.0860135          0.011        0.011   0.172035      1.518  16.255  17.409        0.02    500114        0.026    2.07063            0.013        0.015   9.04851         0.008       2059.47
   3   1.34636         2     3    1.43229         2       2802.84         42.4367  40.8133    15.2        43        2     12         26       42  18.623  16.021        0.019   -0.221287           0.02         0.02   -0.13536       1.211  16.655  17.412        0.029   501047        0       -1.26574            0            0       9.05151         0           -150.95
   3   1.34636         2     3    1.43229         3       -666.55         43.0747  40.0738    17.7        40        2     29          4       43  18.428  16.197        0.018   -0.416287           0.022        0.018  -0.33036       1.016  16.78   17.412        0.032   503978        0       -2.95714            0            0       9.05151         0           2606.38
  17   1.34649         9    10    1.43239        18        818.74         42.8015  40.3673    28.15       41        2      5.4       48       42  18.088  16.639        0.011   -0.757388           0.011        0.011  -0.671492      0.675  17.026  17.413        0.013     9085        0.018   -5.26253            0            0.001   9.05251         0           1522.73
